# YCSB Benchmark Scale 100K Run 5
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	1.08634e+06	2.99355	0.197908	0.728286	0.00221668	0.2	1.6	3.2	0
CASCADE	A(50R/50U)	1.0886e+06	3.04592	0.216224	0.69429	0.00208389	0.2	1.6	3.2	4
Baseline	B(95R/5U)	2.55345e+06	3.74447	0.0469021	0.893338	0.00262411	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	3.0703e+06	3.57001	0.0567669	0.89621	0.00312214	0.2	1.6	3.2	2
Baseline	C(100R)	3.21494e+06	4.01542	0.07403	0.98294	0.00225783	0.2	1.6	3.2	0
CASCADE	C(100R)	3.20539e+06	3.82373	0.0821	0.9861	0.00216974	0.2	1.6	1.6	2
Baseline	D(95R/5I)	2.03304e+06	3.82641	0.0754856	0.967791	0.0027076	0.2	1.6	3.2	0
CASCADE	D(95R/5I)	2.41249e+06	3.6522	0.0904143	0.970663	0.00253729	0.2	1.6	3.2	3
Baseline	E(95Scan/5I)	140979	3.13493	0	0.696579	0	0	0	0	0
CASCADE	E(95Scan/5I)	157170	3.00242	0	0.702685	0	0	0	0	4
Baseline	F(50R/50RMW)	1.07334e+06	2.99355	0.197908	0.728286	0.00221668	0.2	1.6	3.2	0
CASCADE	F(50R/50RMW)	1.10159e+06	3.04592	0.216224	0.69429	0.00208389	0.2	1.6	3.2	4
Baseline	W(1R/99W)	719734	3.15525	0.247312	0.581566	0.000894454	0.4	1638.4	3276.8	0
CASCADE	W(1R/99W)	732180	2.60214	0.343011	0.658597	0.0027881	0.2	1638.4	1638.4	5
Baseline	RW(50R/50W)	1.08334e+06	2.99355	0.197908	0.728286	0.00221668	0.2	1.6	3.2	0
CASCADE	RW(50R/50W)	1.06806e+06	3.04592	0.216224	0.69429	0.00208389	0.2	1.6	3.2	4
Baseline	RSW(25R/25W/50S)	137575	3.46394	0.126123	0.808173	0.00265086	0.4	1.6	3.2	0
CASCADE	RSW(25R/25W/50S)	146279	3.08299	0.16437	0.820955	0.00202713	0.2	1.6	3.2	3
Baseline	RS(47R/47W/6S)	569674	3.05238	0.194839	0.749869	0.00193121	0.2	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	546795	3.10669	0.220708	0.7152	0.00219161	0.2	1.6	3.2	4
Baseline	R(95R/5W)	2.54488e+06	3.74447	0.0469021	0.893338	0.00262411	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	3.09328e+06	3.57001	0.0567669	0.89621	0.00312214	0.2	1.6	3.2	2
