# YCSB Benchmark Scale 500K Run 4
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	618090	6.41779	0.392582	0.663117	0.00136609	0.4	1.6	3.2	0
CASCADE	A(50R/50U)	570661	7.93821	0.474606	0.615223	0.00119841	0.2	3.2	3.2	21
Baseline	B(95R/5U)	1.29998e+06	9.29624	0.234562	0.894856	0.00155971	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	1.58008e+06	8.32125	0.236505	0.901271	0.00157149	0.2	1.6	3.2	14
Baseline	C(100R)	1.75592e+06	9.32891	0.28071	0.941792	0.00156619	0.2	1.6	3.2	0
CASCADE	C(100R)	1.67458e+06	8.65934	0.309466	0.947116	0.00150967	0.2	1.6	3.2	13
Baseline	D(95R/5I)	1.06171e+06	9.41888	0.259948	0.938507	0.001702	0.4	1.6	3.2	0
CASCADE	D(95R/5I)	1.20934e+06	8.3674	0.288027	0.94821	0.00164954	0.2	1.6	3.2	14
Baseline	E(95Scan/5I)	96124.6	6.30545	0	0.642508	0	0	0	0	0
CASCADE	E(95Scan/5I)	107864	7.70014	0	0.597338	0	0	0	0	21
Baseline	F(50R/50RMW)	623310	6.41779	0.392582	0.663117	0.00136609	0.4	3.2	3.2	0
CASCADE	F(50R/50RMW)	571016	7.93821	0.474606	0.615223	0.00119841	0.2	3.2	3.2	21
Baseline	W(1R/99W)	340605	10.1077	0.462581	0.477008	0.00216616	0.4	6553.6	26214.4	0
CASCADE	W(1R/99W)	349844	8.89007	0.530542	0.508626	0.00171257	0.4	6553.6	26214.4	28
Baseline	RW(50R/50W)	621119	6.41779	0.39259	0.663117	0.00136608	0.4	3.2	3.2	0
CASCADE	RW(50R/50W)	572776	7.93821	0.474606	0.615223	0.00119841	0.2	3.2	3.2	21
Baseline	RSW(25R/25W/50S)	98495	7.53225	0.334738	0.770622	0.00140037	0.4	3.2	3.2	0
CASCADE	RSW(25R/25W/50S)	112159	6.64842	0.417263	0.786245	0.00155636	0.4	1.6	3.2	17
Baseline	RS(47R/47W/6S)	364744	6.57316	0.386961	0.66089	0.00130182	0.4	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	367499	7.50481	0.469706	0.65795	0.00122543	0.2	3.2	3.2	20
Baseline	R(95R/5W)	1.35805e+06	9.29624	0.234562	0.894856	0.00155971	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.5643e+06	8.32125	0.236505	0.901271	0.00157149	0.2	1.6	3.2	14
