scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
5000000,1,Baseline,A(50R/50U),56672.4764,84.4713,0.4860,0.6145,0.0011,0.8000,6.4000,6.4000,0,88.2262,no
5000000,1,CASCADE,A(50R/50U),73494.2494,43.7284,0.5487,0.6269,0.0010,0.8000,6.4000,6.4000,226,68.0325,no
5000000,1,Baseline,B(95R/5U),564760.5034,54.5270,0.3701,0.9130,0.0010,0.4000,3.2000,3.2000,0,8.8533,no
5000000,1,CASCADE,B(95R/5U),513389.6952,32.9476,0.4278,0.9042,0.0010,0.4000,3.2000,6.4000,145,9.7392,no
5000000,1,Baseline,C(100R),1185071.4885,59.4346,0.1961,0.9558,0.0009,0.4000,3.2000,3.2000,0,4.2192,no
5000000,1,CASCADE,C(100R),1226214.5917,27.5645,0.1997,0.9630,0.0008,0.4000,3.2000,3.2000,138,4.0776,no
5000000,1,Baseline,D(95R/5I),378538.9906,56.8330,0.2551,0.9530,0.0011,0.8000,3.2000,6.4000,0,13.2087,no
5000000,1,CASCADE,D(95R/5I),450310.9234,26.8005,0.2849,0.9637,0.0011,0.4000,3.2000,3.2000,153,11.1034,no
5000000,1,Baseline,E(95Scan/5I),31052.4089,83.1343,0.0000,0.5880,0.0000,0.0000,0.0000,0.0000,0,161.0181,no
5000000,1,CASCADE,E(95Scan/5I),36863.8834,42.8709,0.0000,0.6161,0.0000,0.0000,0.0000,0.0000,235,135.6341,no
5000000,1,Baseline,F(50R/50RMW),57708.9924,84.4713,0.4860,0.6145,0.0011,0.8000,6.4000,6.4000,0,86.6416,no
5000000,1,CASCADE,F(50R/50RMW),73099.9620,43.7284,0.5487,0.6269,0.0010,0.8000,6.4000,6.4000,226,68.3995,no
5000000,1,Baseline,W(1R/99W),29424.2908,65.7558,0.5227,0.4745,0.0012,1.6000,104857.6000,209715.2000,0,169.9276,no
5000000,1,CASCADE,W(1R/99W),35658.2467,39.4879,0.5831,0.5153,0.0010,1.6000,104857.6000,209715.2000,322,140.2200,no
5000000,1,Baseline,RW(50R/50W),57733.4382,84.4713,0.4860,0.6145,0.0011,0.8000,6.4000,6.4000,0,86.6049,no
5000000,1,CASCADE,RW(50R/50W),74042.9484,43.7284,0.5487,0.6269,0.0010,0.8000,6.4000,6.4000,226,67.5284,no
5000000,1,Baseline,RSW(25R/25W/50S),46579.4818,65.5230,0.4492,0.7179,0.0011,0.8000,6.4000,6.4000,0,107.3434,no
5000000,1,CASCADE,RSW(25R/25W/50S),49560.9301,51.5373,0.5122,0.7425,0.0010,0.8000,6.4000,6.4000,176,100.8859,no
5000000,1,Baseline,RS(47R/47W/6S),54919.8844,86.2303,0.4827,0.6350,0.0011,0.8000,6.4000,6.4000,0,91.0417,no
5000000,1,CASCADE,RS(47R/47W/6S),68815.9586,44.4510,0.5463,0.6330,0.0011,0.8000,3.2000,6.4000,220,72.6576,no
5000000,1,Baseline,R(95R/5W),544936.9940,54.5270,0.3701,0.9130,0.0010,0.8000,3.2000,6.4000,0,9.1754,no
5000000,1,CASCADE,R(95R/5W),516616.9698,32.9476,0.4278,0.9042,0.0010,0.4000,3.2000,6.4000,145,9.6784,no
5000000,2,Baseline,A(50R/50U),58018.0434,84.4959,0.4863,0.6145,0.0011,0.8000,6.4000,6.4000,0,86.1801,no
5000000,2,CASCADE,A(50R/50U),73861.8257,43.2719,0.5505,0.6270,0.0011,0.8000,6.4000,6.4000,226,67.6940,no
5000000,2,Baseline,B(95R/5U),541625.7561,54.4965,0.3703,0.9124,0.0010,0.8000,3.2000,6.4000,0,9.2315,no
5000000,2,CASCADE,B(95R/5U),513686.3575,32.9291,0.4287,0.9036,0.0011,0.4000,3.2000,6.4000,145,9.7336,no
5000000,2,Baseline,C(100R),1138548.7443,59.4346,0.1956,0.9558,0.0009,0.4000,3.2000,3.2000,0,4.3916,no
5000000,2,CASCADE,C(100R),1187321.4962,27.5645,0.1993,0.9630,0.0008,0.4000,3.2000,3.2000,138,4.2112,no
5000000,2,Baseline,D(95R/5I),373151.0111,57.0651,0.2551,0.9540,0.0011,0.8000,3.2000,6.4000,0,13.3994,no
5000000,2,CASCADE,D(95R/5I),447820.8812,26.7872,0.2851,0.9647,0.0011,0.4000,3.2000,3.2000,153,11.1652,no
5000000,2,Baseline,E(95Scan/5I),30873.1920,82.8484,0.0000,0.5884,0.0000,0.0000,0.0000,0.0000,0,161.9528,no
5000000,2,CASCADE,E(95Scan/5I),36831.4881,42.8711,0.0000,0.6158,0.0000,0.0000,0.0000,0.0000,236,135.7534,no
5000000,2,Baseline,F(50R/50RMW),57796.7421,84.4959,0.4863,0.6145,0.0011,0.8000,6.4000,6.4000,0,86.5101,no
5000000,2,CASCADE,F(50R/50RMW),73821.2194,43.2719,0.5505,0.6270,0.0011,0.8000,6.4000,6.4000,226,67.7312,no
5000000,2,Baseline,W(1R/99W),29309.3822,65.7614,0.5186,0.4745,0.0012,1.6000,104857.6000,209715.2000,0,170.5938,no
5000000,2,CASCADE,W(1R/99W),35368.1489,39.8035,0.5806,0.5153,0.0010,1.6000,104857.6000,209715.2000,322,141.3701,no
5000000,2,Baseline,RW(50R/50W),58062.9117,84.4959,0.4863,0.6145,0.0011,0.8000,6.4000,6.4000,0,86.1135,no
5000000,2,CASCADE,RW(50R/50W),73760.0099,43.2719,0.5505,0.6270,0.0011,0.8000,6.4000,6.4000,226,67.7874,no
5000000,2,Baseline,RSW(25R/25W/50S),46485.0700,65.5555,0.4500,0.7182,0.0011,0.8000,6.4000,6.4000,0,107.5614,no
5000000,2,CASCADE,RSW(25R/25W/50S),49596.9390,50.9638,0.5126,0.7428,0.0011,0.8000,6.4000,6.4000,176,100.8127,no
5000000,2,Baseline,RS(47R/47W/6S),54747.2110,86.2887,0.4830,0.6346,0.0011,0.8000,6.4000,6.4000,0,91.3289,no
5000000,2,CASCADE,RS(47R/47W/6S),68542.1119,44.4641,0.5476,0.6336,0.0011,0.8000,3.2000,6.4000,220,72.9479,no
5000000,2,Baseline,R(95R/5W),533205.4351,54.4965,0.3703,0.9124,0.0010,0.8000,3.2000,6.4000,0,9.3772,no
5000000,2,CASCADE,R(95R/5W),489586.0858,32.9291,0.4287,0.9036,0.0011,0.4000,3.2000,3.2000,145,10.2127,no
5000000,3,Baseline,A(50R/50U),56158.9309,84.4762,0.4863,0.6144,0.0011,0.8000,3.2000,6.4000,0,89.0330,no
5000000,3,CASCADE,A(50R/50U),72099.3371,43.2625,0.5508,0.6268,0.0010,0.8000,3.2000,6.4000,226,69.3488,no
5000000,3,Baseline,B(95R/5U),534930.4931,54.5149,0.3692,0.9128,0.0010,0.8000,3.2000,6.4000,0,9.3470,no
5000000,3,CASCADE,B(95R/5U),512206.0472,32.9404,0.4269,0.9040,0.0011,0.4000,3.2000,6.4000,145,9.7617,no
5000000,3,Baseline,C(100R),1400121.7711,59.4346,0.1954,0.9558,0.0009,0.4000,1.6000,3.2000,0,3.5711,no
5000000,3,CASCADE,C(100R),1400066.9652,27.5645,0.1991,0.9630,0.0008,0.4000,1.6000,3.2000,138,3.5713,no
5000000,3,Baseline,D(95R/5I),401910.8961,56.8192,0.2549,0.9528,0.0011,0.4000,3.2000,3.2000,0,12.4406,no
5000000,3,CASCADE,D(95R/5I),487749.8040,26.7941,0.2846,0.9635,0.0011,0.4000,1.6000,3.2000,153,10.2512,no
5000000,3,Baseline,E(95Scan/5I),29104.6882,83.1419,0.0000,0.5883,0.0000,0.0000,0.0000,0.0000,0,171.7936,no
5000000,3,CASCADE,E(95Scan/5I),36785.3779,42.8836,0.0000,0.6159,0.0000,0.0000,0.0000,0.0000,236,135.9236,no
5000000,3,Baseline,F(50R/50RMW),62570.3860,84.4762,0.4863,0.6144,0.0011,0.8000,3.2000,6.4000,0,79.9100,no
5000000,3,CASCADE,F(50R/50RMW),79653.7967,43.2625,0.5508,0.6268,0.0010,0.4000,3.2000,6.4000,226,62.7716,no
5000000,3,Baseline,W(1R/99W),30915.8740,65.7615,0.5241,0.4745,0.0012,1.6000,104857.6000,209715.2000,0,161.7292,no
5000000,3,CASCADE,W(1R/99W),39272.8882,39.4895,0.5878,0.5154,0.0012,1.6000,104857.6000,209715.2000,322,127.3143,no
5000000,3,Baseline,RW(50R/50W),57081.2769,84.4762,0.4863,0.6144,0.0011,0.8000,3.2000,12.8000,0,87.5944,no
5000000,3,CASCADE,RW(50R/50W),70967.3338,43.2625,0.5508,0.6268,0.0010,0.4000,3.2000,6.4000,226,70.4550,no
5000000,3,Baseline,RSW(25R/25W/50S),42499.5203,65.5653,0.4507,0.7184,0.0011,0.8000,3.2000,6.4000,0,117.6484,no
5000000,3,CASCADE,RSW(25R/25W/50S),49207.0061,51.5619,0.5131,0.7430,0.0011,0.8000,3.2000,6.4000,176,101.6115,no
5000000,3,Baseline,RS(47R/47W/6S),55526.9889,86.2586,0.4823,0.6353,0.0011,0.8000,3.2000,6.4000,0,90.0463,no
5000000,3,CASCADE,RS(47R/47W/6S),66336.1242,44.4622,0.5469,0.6333,0.0011,0.8000,3.2000,6.4000,220,75.3737,no
5000000,3,Baseline,R(95R/5W),466847.8758,54.5149,0.3692,0.9128,0.0010,0.4000,1.6000,3.2000,0,10.7101,no
5000000,3,CASCADE,R(95R/5W),458067.6670,32.9404,0.4269,0.9040,0.0011,0.4000,3.2000,3.2000,145,10.9154,no
