# YCSB Benchmark Scale 10M Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	23124.2	167.182	0.509752	0.609989	0.00107171	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	29559	79.7126	0.59402	0.614249	0.000946615	0.8	6.4	6.4	413
Baseline	B(95R/5U)	226008	107.598	0.394375	0.912682	0.000932341	0.8	6.4	6.4	0
CASCADE	B(95R/5U)	259760	71.7395	0.472501	0.894816	0.000955711	0.8	3.2	6.4	263
Baseline	C(100R)	898125	99.2458	0.223688	0.956033	0.000588139	0.4	3.2	6.4	0
CASCADE	C(100R)	888007	65.0808	0.22188	0.951634	0.000579212	0.4	3.2	6.4	254
Baseline	D(95R/5I)	159360	108.637	0.253034	0.957366	0.00097236	0.8	6.4	6.4	0
CASCADE	D(95R/5I)	181094	74.2539	0.261015	0.94295	0.00113229	0.8	3.2	6.4	271
Baseline	E(95Scan/5I)	14775	163.635	0	0.584576	0	0	0	0	0
CASCADE	E(95Scan/5I)	17406.9	76.941	0	0.594939	0	0	0	0	431
Baseline	F(50R/50RMW)	22191.1	167.182	0.509756	0.609989	0.00107171	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	28189.7	79.7126	0.594022	0.614249	0.000946614	0.8	6.4	6.4	413
Baseline	W(1R/99W)	11623	128.679	0.5457	0.473682	0.00114253	3.2	419430	838861	0
CASCADE	W(1R/99W)	13818.8	64.3679	0.625862	0.510048	0.000960819	3.2	419430	419430	590
Baseline	RW(50R/50W)	22469.2	167.182	0.509753	0.609989	0.00107171	0.8	6.4	12.8	0
CASCADE	RW(50R/50W)	28918.2	79.7126	0.59402	0.614249	0.000946614	0.8	6.4	6.4	413
Baseline	RSW(25R/25W/50S)	25282.5	116.215	0.474723	0.754853	0.00102388	1.6	6.4	12.8	0
CASCADE	RSW(25R/25W/50S)	29039.1	64.629	0.557767	0.751114	0.000939328	1.6	6.4	12.8	335
Baseline	RS(47R/47W/6S)	22486.2	170.635	0.506493	0.629465	0.0010611	0.8	6.4	12.8	0
CASCADE	RS(47R/47W/6S)	28605.1	80.8239	0.59158	0.620107	0.00094026	0.8	6.4	6.4	402
Baseline	R(95R/5W)	221306	107.598	0.394375	0.912682	0.00093231	0.8	6.4	6.4	0
CASCADE	R(95R/5W)	256806	71.7395	0.472501	0.894816	0.000955711	0.8	3.2	6.4	263
