# YCSB Benchmark Scale 100K Run 1
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	1.09066e+06	3.00256	0.204693	0.731607	0.00218418	0.2	1.6	3.2	0
CASCADE	A(50R/50U)	1.087e+06	3.05505	0.219516	0.697344	0.00223726	0.2	1.6	3.2	4
Baseline	B(95R/5U)	2.56714e+06	3.75102	0.0465385	0.895275	0.00260289	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	3.15477e+06	3.57614	0.056107	0.898153	0.00294664	0.2	1.6	3.2	2
Baseline	C(100R)	3.20087e+06	4.01542	0.07256	0.98294	0.00215731	0.2	1.6	3.2	0
CASCADE	C(100R)	3.15647e+06	3.82373	0.08081	0.9861	0.00211432	0.2	1.6	3.2	2
Baseline	D(95R/5I)	2.01646e+06	3.83246	0.0740558	0.969889	0.00251295	0.2	1.6	3.2	0
CASCADE	D(95R/5I)	2.26494e+06	3.65787	0.0902486	0.972767	0.00249677	0.2	1.6	3.2	3
Baseline	E(95Scan/5I)	131391	3.12734	0	0.694226	0	0	0	0	0
CASCADE	E(95Scan/5I)	152032	2.99606	0	0.700964	0	0	0	0	4
Baseline	F(50R/50RMW)	986023	3.00256	0.204693	0.731607	0.00218418	0.2	1.6	3.2	0
CASCADE	F(50R/50RMW)	1.02054e+06	3.05505	0.219535	0.697344	0.00223726	0.2	1.6	3.2	4
Baseline	W(1R/99W)	699731	3.15412	0.259898	0.581089	0	0.4	1638.4	3276.8	0
CASCADE	W(1R/99W)	664909	2.60306	0.337056	0.659169	0.00459137	0.2	1638.4	1638.4	5
Baseline	RW(50R/50W)	993732	3.00256	0.204693	0.731607	0.00218418	0.2	1.6	3.2	0
CASCADE	RW(50R/50W)	1.05263e+06	3.05505	0.219516	0.697344	0.00223726	0.2	1.6	3.2	4
Baseline	RSW(25R/25W/50S)	145633	3.45586	0.129609	0.805689	0.00219986	0.4	1.6	3.2	0
CASCADE	RSW(25R/25W/50S)	146650	3.0761	0.172369	0.818338	0.00230114	0.2	1.6	1.6	3
Baseline	RS(47R/47W/6S)	551514	3.05931	0.194254	0.752521	0.0022163	0.2	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	566234	3.11288	0.220228	0.716957	0.00214774	0.2	1.6	3.2	4
Baseline	R(95R/5W)	2.59665e+06	3.75102	0.0465385	0.895275	0.00260289	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	3.008e+06	3.57614	0.056107	0.898153	0.00294664	0.2	1.6	3.2	2
