# YCSB Benchmark Scale 3M Run 2
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	122703	39.614	0.466433	0.646195	0.00117879	0.8	3.2	6.4	0
CASCADE	A(50R/50U)	150452	27.2943	0.53048	0.641074	0.00105682	0.4	3.2	6.4	135
Baseline	B(95R/5U)	586405	39.1214	0.344883	0.872018	0.00114258	0.4	3.2	6.4	0
CASCADE	B(95R/5U)	699936	29.0778	0.386864	0.884816	0.00122998	0.4	3.2	6.4	83
Baseline	C(100R)	1.37244e+06	34.5238	0.228752	0.952587	0.00178144	0.2	1.6	3.2	0
CASCADE	C(100R)	1.23812e+06	26.5849	0.257483	0.925985	0.00146617	0.4	3.2	3.2	79
Baseline	D(95R/5I)	421800	44.2903	0.257758	0.915288	0.00135031	0.4	3.2	6.4	0
CASCADE	D(95R/5I)	534457	29.5838	0.266641	0.925687	0.00141446	0.4	3.2	6.4	86
Baseline	E(95Scan/5I)	49448.7	38.9417	0	0.609157	0	0	0	0	0
CASCADE	E(95Scan/5I)	56548.1	28.9064	0	0.632545	0	0	0	0	141
Baseline	F(50R/50RMW)	124160	39.614	0.466428	0.646195	0.00117879	0.8	3.2	6.4	0
CASCADE	F(50R/50RMW)	150715	27.2943	0.530477	0.641074	0.00105682	0.4	3.2	6.4	135
Baseline	W(1R/99W)	66852.5	34.7272	0.502659	0.481695	0.00112949	1.6	52428.8	104858	0
CASCADE	W(1R/99W)	75229.1	26.6256	0.570203	0.511958	0.000913078	1.6	52428.8	104858	192
Baseline	RW(50R/50W)	123298	39.614	0.466429	0.646195	0.00117878	0.8	3.2	6.4	0
CASCADE	RW(50R/50W)	151314	27.2943	0.530478	0.641074	0.00105682	0.4	3.2	6.4	135
Baseline	RSW(25R/25W/50S)	58318.2	50.6152	0.429695	0.735169	0.00124162	0.8	6.4	6.4	0
CASCADE	RSW(25R/25W/50S)	71597.3	27.7987	0.491465	0.748826	0.00110148	0.8	3.2	6.4	106
Baseline	RS(47R/47W/6S)	107864	40.7472	0.463907	0.650711	0.0011805	0.8	3.2	6.4	0
CASCADE	RS(47R/47W/6S)	128869	26.707	0.529286	0.648178	0.00106186	0.8	3.2	6.4	132
Baseline	R(95R/5W)	591326	39.1214	0.344882	0.872018	0.00114258	0.4	3.2	6.4	0
CASCADE	R(95R/5W)	689464	29.0778	0.386864	0.884816	0.00122998	0.4	3.2	6.4	83
