scale,run_id,workload,throughput_kops,p50_us,p99_us,elapsed_s,ok
100000,5,F(50R/50RMW),301.241,3.125,6.625,0.33196,1
100000,1,W(1R/99W),178.342,3.25,7.375,0.560719,1
100000,2,W(1R/99W),165.907,3.25,7,0.602748,1
100000,3,W(1R/99W),152.591,3.291,6.917,0.655348,1
100000,4,W(1R/99W),180.177,3.25,7.083,0.555009,1
100000,5,W(1R/99W),180.846,3.25,6.834,0.552956,1
100000,1,RW(50R/50W),288.782,3.083,6.458,0.346282,1
100000,2,RW(50R/50W),224.049,3.125,7.958,0.44633,1
100000,3,RW(50R/50W),281.792,3.125,6.167,0.354871,1
100000,4,RW(50R/50W),286.621,3.125,6.334,0.348893,1
100000,5,RW(50R/50W),297.874,3.125,6.5,0.335712,1
100000,1,RSW(25R/25W/50S),194.438,4.083,12.25,0.514304,1
100000,2,RSW(25R/25W/50S),201.027,4.042,12.125,0.497446,1
100000,3,RSW(25R/25W/50S),201.806,4.042,12.041,0.495525,1
100000,4,RSW(25R/25W/50S),196.943,4.042,12.5,0.507761,1
100000,5,RSW(25R/25W/50S),186.055,4.084,12.042,0.537476,1
100000,1,RS(47R/47W/6S),277.79,3.167,10.166,0.359984,1
100000,2,RS(47R/47W/6S),283.77,3.208,10.167,0.352398,1
100000,3,RS(47R/47W/6S),258.73,3.209,10.5,0.386504,1
100000,4,RS(47R/47W/6S),283.965,3.208,10.25,0.352156,1
100000,5,RS(47R/47W/6S),261.778,3.209,10.209,0.382004,1
100000,1,R(95R/5W),1130.09,0.666,3.875,0.0884885,1
100000,2,R(95R/5W),1000.7,0.666,5.583,0.0999304,1
100000,3,R(95R/5W),1133.13,0.666,3.958,0.088251,1
100000,4,R(95R/5W),1119.07,0.666,3.917,0.0893601,1
100000,5,R(95R/5W),1089.23,0.667,3.958,0.0918077,1
1000000,1,A(50R/50U),258.756,3.25,7,3.86464,1
1000000,2,A(50R/50U),249.462,3.292,7.083,4.00862,1
1000000,3,A(50R/50U),196.158,3.334,7.333,5.09794,1
1000000,4,A(50R/50U),249.012,3.292,6.916,4.01587,1
1000000,5,A(50R/50U),234.293,3.291,6.791,4.26817,1
1000000,1,B(95R/5U),621.412,0.959,5.25,1.60924,1
1000000,2,B(95R/5U),701.772,0.959,4.958,1.42497,1
1000000,3,B(95R/5U),677.801,1,4.375,1.47536,1
1000000,4,B(95R/5U),690.306,0.959,4.875,1.44863,1
1000000,5,B(95R/5U),692.741,1,4.792,1.44354,1
1000000,1,C(100R),1163.98,0.542,2.459,0.859119,1
1000000,2,C(100R),1151.11,0.542,2.459,0.868727,1
1000000,3,C(100R),1149.58,0.583,2.5,0.869883,1
1000000,4,C(100R),1104.89,0.583,2.792,0.905066,1
1000000,5,C(100R),1128.14,0.583,2.375,0.886418,1
1000000,1,D(95R/5I),590.08,1.125,4.416,1.69469,1
1000000,2,D(95R/5I),582.941,1.125,4.667,1.71544,1
1000000,3,D(95R/5I),584.5,1.166,5.166,1.71086,1
1000000,4,D(95R/5I),575.491,1.166,5,1.73765,1
1000000,5,D(95R/5I),594.455,1.125,4.917,1.68221,1
1000000,1,E(95Scan/5I),134.096,4.583,16.041,7.45734,1
1000000,2,E(95Scan/5I),133.703,4.292,15.792,7.47926,1
1000000,3,E(95Scan/5I),131.847,4.75,16.291,7.58457,1
1000000,4,E(95Scan/5I),128.852,4.834,16.125,7.76085,1
1000000,5,E(95Scan/5I),128.204,5.083,16.25,7.80006,1
1000000,1,F(50R/50RMW),264.97,3.333,7.208,3.77401,1
1000000,2,F(50R/50RMW),269.953,3.333,7.042,3.70435,1
1000000,3,F(50R/50RMW),273.317,3.292,6.625,3.65876,1
1000000,4,F(50R/50RMW),273.472,3.292,6.625,3.65668,1
1000000,5,F(50R/50RMW),271.806,3.292,6.667,3.67909,1
1000000,1,W(1R/99W),182.402,3.334,7.417,5.48239,1
1000000,2,W(1R/99W),182.208,3.334,7.25,5.48824,1
1000000,3,W(1R/99W),168.909,3.334,7.375,5.92036,1
1000000,4,W(1R/99W),159.367,3.334,7.417,6.27483,1
1000000,5,W(1R/99W),163.55,3.334,7.333,6.11434,1
1000000,1,RW(50R/50W),229.333,3.333,7,4.36048,1
1000000,2,RW(50R/50W),230.916,3.292,6.834,4.33058,1
1000000,3,RW(50R/50W),247.289,3.292,6.75,4.04385,1
1000000,4,RW(50R/50W),228.509,3.333,6.875,4.37619,1
1000000,5,RW(50R/50W),221.28,3.292,6.833,4.51916,1
1000000,1,RSW(25R/25W/50S),156.496,4.875,14.417,6.38994,1
1000000,2,RSW(25R/25W/50S),158.411,4.792,14.625,6.31267,1
