# YCSB Benchmark Scale 10M Run 1
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	23607.7	167.173	0.509062	0.610082	0.00106288	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	36662.7	77.3434	0.583462	0.62699	0.000943936	0.8	3.2	6.4	421
Baseline	B(95R/5U)	254701	107.6	0.394451	0.913023	0.000934273	0.8	3.2	6.4	0
CASCADE	B(95R/5U)	299790	71.7112	0.473234	0.894235	0.000955923	0.4	3.2	3.2	263
Baseline	C(100R)	1.1017e+06	99.2458	0.223765	0.956033	0.00058867	0.4	3.2	3.2	0
CASCADE	C(100R)	1.10026e+06	65.0808	0.221924	0.951634	0.000576058	0.4	3.2	3.2	254
Baseline	D(95R/5I)	173015	108.652	0.252687	0.957501	0.000970028	0.8	3.2	6.4	0
CASCADE	D(95R/5I)	202604	74.2644	0.260664	0.943076	0.00112463	0.4	3.2	6.4	271
Baseline	E(95Scan/5I)	15788.4	163.663	0	0.584553	0	0	0	0	0
CASCADE	E(95Scan/5I)	20792.1	76.9557	0	0.594618	0	0	0	0	431
Baseline	F(50R/50RMW)	25082	167.173	0.509064	0.610082	0.00106295	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	36202.6	77.3434	0.583456	0.62699	0.000943939	0.8	3.2	6.4	421
Baseline	W(1R/99W)	14315.8	128.677	0.54614	0.473614	0.00101895	1.6	209715	838861	0
CASCADE	W(1R/99W)	18081.5	60.0051	0.616178	0.49391	0.000913784	1.6	209715	419430	615
Baseline	RW(50R/50W)	27219.9	167.173	0.509062	0.610082	0.00106288	0.8	6.4	6.4	0
CASCADE	RW(50R/50W)	36855.3	77.3434	0.583459	0.62699	0.000943938	0.8	3.2	6.4	421
Baseline	RSW(25R/25W/50S)	27096.2	116.203	0.474075	0.754686	0.00102214	0.8	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	29158.4	64.8194	0.555503	0.751002	0.00093838	1.6	6.4	6.4	335
Baseline	RS(47R/47W/6S)	22404.6	170.615	0.50569	0.62939	0.00107608	0.8	6.4	12.8	0
CASCADE	RS(47R/47W/6S)	28736.3	79.3444	0.58093	0.637445	0.000950019	0.8	6.4	6.4	409
Baseline	R(95R/5W)	221598	107.6	0.394452	0.913023	0.000934273	0.8	6.4	6.4	0
CASCADE	R(95R/5W)	257504	71.7112	0.473234	0.894235	0.000955924	0.8	3.2	6.4	263
