# YCSB Benchmark Scale 5M Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	56158.9	84.4762	0.486278	0.614374	0.00112321	0.8	3.2	6.4	0
CASCADE	A(50R/50U)	72099.3	43.2625	0.550757	0.626824	0.00104914	0.8	3.2	6.4	226
Baseline	B(95R/5U)	534930	54.5149	0.369232	0.912766	0.000989298	0.8	3.2	6.4	0
CASCADE	B(95R/5U)	512206	32.9404	0.426892	0.904037	0.0010558	0.4	3.2	6.4	145
Baseline	C(100R)	1.40012e+06	59.4346	0.195438	0.95582	0.000852629	0.4	1.6	3.2	0
CASCADE	C(100R)	1.40007e+06	27.5645	0.199121	0.962992	0.000788984	0.4	1.6	3.2	138
Baseline	D(95R/5I)	401911	56.8192	0.254855	0.952818	0.00109449	0.4	3.2	3.2	0
CASCADE	D(95R/5I)	487750	26.7941	0.284644	0.963483	0.00111288	0.4	1.6	3.2	153
Baseline	E(95Scan/5I)	29104.7	83.1419	0	0.58828	0	0	0	0	0
CASCADE	E(95Scan/5I)	36785.4	42.8836	0	0.615895	0	0	0	0	236
Baseline	F(50R/50RMW)	62570.4	84.4762	0.486277	0.614374	0.00112321	0.8	3.2	6.4	0
CASCADE	F(50R/50RMW)	79653.8	43.2625	0.550758	0.626824	0.00104914	0.4	3.2	6.4	226
Baseline	W(1R/99W)	30915.9	65.7615	0.524075	0.474493	0.00117455	1.6	104858	209715	0
CASCADE	W(1R/99W)	39272.9	39.4895	0.587828	0.515377	0.00117423	1.6	104858	209715	322
Baseline	RW(50R/50W)	57081.3	84.4762	0.486273	0.614374	0.00112321	0.8	3.2	12.8	0
CASCADE	RW(50R/50W)	70967.3	43.2625	0.550761	0.626824	0.00104914	0.4	3.2	6.4	226
Baseline	RSW(25R/25W/50S)	42499.5	65.5653	0.450738	0.718441	0.00111426	0.8	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	49207	51.5619	0.513127	0.742975	0.00107906	0.8	3.2	6.4	176
Baseline	RS(47R/47W/6S)	55527	86.2586	0.48229	0.635283	0.00110567	0.8	3.2	6.4	0
CASCADE	RS(47R/47W/6S)	66336.1	44.4622	0.546884	0.63333	0.00105859	0.8	3.2	6.4	220
Baseline	R(95R/5W)	466848	54.5149	0.369232	0.912766	0.000989298	0.4	1.6	3.2	0
CASCADE	R(95R/5W)	458068	32.9404	0.426892	0.904037	0.0010558	0.4	3.2	3.2	145
