# YCSB Benchmark Scale 5M Run 2
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	58018	84.4959	0.486336	0.614485	0.00111519	0.8	6.4	6.4	0
CASCADE	A(50R/50U)	73861.8	43.2719	0.550485	0.626978	0.00105988	0.8	6.4	6.4	226
Baseline	B(95R/5U)	541626	54.4965	0.370315	0.912378	0.000996875	0.8	3.2	6.4	0
CASCADE	B(95R/5U)	513686	32.9291	0.428712	0.903571	0.00106998	0.4	3.2	6.4	145
Baseline	C(100R)	1.13855e+06	59.4346	0.195623	0.95582	0.000860211	0.4	3.2	3.2	0
CASCADE	C(100R)	1.18732e+06	27.5645	0.199279	0.962992	0.000789847	0.4	3.2	3.2	138
Baseline	D(95R/5I)	373151	57.0651	0.255058	0.954005	0.0010851	0.8	3.2	6.4	0
CASCADE	D(95R/5I)	447821	26.7872	0.285129	0.964658	0.00111095	0.4	3.2	3.2	153
Baseline	E(95Scan/5I)	30873.2	82.8484	0	0.588375	0	0	0	0	0
CASCADE	E(95Scan/5I)	36831.5	42.8711	0	0.615759	0	0	0	0	236
Baseline	F(50R/50RMW)	57796.7	84.4959	0.486334	0.614485	0.00111519	0.8	6.4	6.4	0
CASCADE	F(50R/50RMW)	73821.2	43.2719	0.550491	0.626978	0.00105988	0.8	6.4	6.4	226
Baseline	W(1R/99W)	29309.4	65.7614	0.518581	0.474512	0.00124036	1.6	104858	209715	0
CASCADE	W(1R/99W)	35368.1	39.8035	0.580606	0.515323	0.000976989	1.6	104858	209715	322
Baseline	RW(50R/50W)	58062.9	84.4959	0.486336	0.614485	0.00111519	0.8	6.4	6.4	0
CASCADE	RW(50R/50W)	73760	43.2719	0.550486	0.626978	0.00105988	0.8	6.4	6.4	226
Baseline	RSW(25R/25W/50S)	46485.1	65.5555	0.450042	0.718248	0.00106495	0.8	6.4	6.4	0
CASCADE	RSW(25R/25W/50S)	49596.9	50.9638	0.512592	0.742831	0.00105353	0.8	6.4	6.4	176
Baseline	RS(47R/47W/6S)	54747.2	86.2887	0.483025	0.634624	0.00112483	0.8	6.4	6.4	0
CASCADE	RS(47R/47W/6S)	68542.1	44.4641	0.547579	0.63361	0.00106691	0.8	3.2	6.4	220
Baseline	R(95R/5W)	533205	54.4965	0.370316	0.912378	0.000996876	0.8	3.2	6.4	0
CASCADE	R(95R/5W)	489586	32.9291	0.428712	0.903571	0.00106998	0.4	3.2	3.2	145
