# YCSB Benchmark Scale 15M Run 1
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	16043.1	154.305	0.52519	0.634844	0.00172709	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	17083.9	120.584	0.58709	0.608899	0.000963245	0.8	6.4	12.8	647
Baseline	B(95R/5U)	149149	134.528	0.411049	0.89487	0.000884539	0.8	6.4	6.4	0
CASCADE	B(95R/5U)	218226	61.4777	0.471826	0.921074	0.00078357	0.8	3.2	6.4	427
Baseline	C(100R)	762363	120.303	0.204505	0.965543	0.000660498	0.8	3.2	6.4	0
CASCADE	C(100R)	777801	64.1043	0.216315	0.969268	0.000618038	0.8	3.2	6.4	397
Baseline	D(95R/5I)	109375	126.545	0.288205	0.965091	0.000937675	0.8	6.4	6.4	0
CASCADE	D(95R/5I)	145145	65.9574	0.263288	0.967051	0.000852964	0.8	6.4	6.4	433
Baseline	E(95Scan/5I)	10738.5	147.675	0	0.623396	0	0	0	0	0
CASCADE	E(95Scan/5I)	11498.5	115.65	0	0.598947	0	0	0	0	678
Baseline	F(50R/50RMW)	16064.4	154.305	0.525189	0.634844	0.00172704	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	16774.2	120.584	0.587092	0.608899	0.000963201	0.8	6.4	12.8	647
Baseline	W(1R/99W)	7888.78	119.81	0.566655	0.510166	0.00294359	3.2	419430	838861	0
CASCADE	W(1R/99W)	8299.28	92.5979	0.621653	0.484387	0.00109184	3.2	419430	838861	935
Baseline	RW(50R/50W)	15970.7	154.305	0.525188	0.634844	0.00172704	0.8	6.4	12.8	0
CASCADE	RW(50R/50W)	16996.1	120.584	0.587092	0.608899	0.000963245	0.8	6.4	12.8	647
Baseline	RSW(25R/25W/50S)	17830.3	161.557	0.488137	0.745609	0.00101132	1.6	6.4	12.8	0
CASCADE	RSW(25R/25W/50S)	18552.3	153.547	0.559863	0.719346	0.000944099	1.6	6.4	12.8	494
Baseline	RS(47R/47W/6S)	16047.3	157.91	0.521748	0.641371	0.00163331	1.6	6.4	12.8	0
CASCADE	RS(47R/47W/6S)	17176.6	123.757	0.583615	0.618157	0.000946819	0.8	6.4	12.8	628
Baseline	R(95R/5W)	152888	134.528	0.411049	0.89487	0.000884539	0.8	6.4	6.4	0
CASCADE	R(95R/5W)	214542	61.4777	0.471826	0.921074	0.00078357	0.8	6.4	6.4	427
