# YCSB Benchmark Scale 100K Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	765120	2.99406	0.201878	0.728487	0.00221389	0.2	1.6	3.2	0
CASCADE	A(50R/50U)	1.10406e+06	3.04571	0.218035	0.693855	0.00170316	0.2	1.6	3.2	4
Baseline	B(95R/5U)	2.43864e+06	3.74046	0.0482372	0.892057	0.00262544	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	3.10912e+06	3.56625	0.0571302	0.894925	0.00269275	0.2	1.6	3.2	2
Baseline	C(100R)	3.27593e+06	4.01542	0.0742	0.98294	0.0023633	0.2	1.6	1.6	0
CASCADE	C(100R)	3.19557e+06	3.82373	0.08096	0.9861	0.00198422	0.2	1.6	3.2	2
Baseline	D(95R/5I)	2.04321e+06	3.82239	0.0748214	0.966403	0.00236574	0.2	1.6	3.2	0
CASCADE	D(95R/5I)	2.37665e+06	3.64842	0.093777	0.969271	0.00275425	0.2	1.6	3.2	3
Baseline	E(95Scan/5I)	137233	3.12718	0	0.694297	0	0	0	0	0
CASCADE	E(95Scan/5I)	154750	2.99434	0	0.699685	0	0	0	0	4
Baseline	F(50R/50RMW)	1.11091e+06	2.99406	0.201898	0.728487	0.00221389	0.2	1.6	3.2	0
CASCADE	F(50R/50RMW)	1.10078e+06	3.04571	0.218035	0.693855	0.00170316	0.2	1.6	3.2	4
Baseline	W(1R/99W)	750668	3.15447	0.251714	0.581572	0.00260191	0.2	819.2	3276.8	0
CASCADE	W(1R/99W)	754970	2.60163	0.348678	0.658247	0.00178412	0.2	819.2	1638.4	5
Baseline	RW(50R/50W)	1.07633e+06	2.99406	0.201898	0.728487	0.00221389	0.2	1.6	3.2	0
CASCADE	RW(50R/50W)	1.08244e+06	3.04571	0.218035	0.693855	0.00170316	0.2	1.6	3.2	4
Baseline	RSW(25R/25W/50S)	147262	3.46067	0.130772	0.807597	0.00208566	0.4	1.6	3.2	0
CASCADE	RSW(25R/25W/50S)	145338	3.08016	0.170914	0.820288	0.00210172	0.2	1.6	3.2	3
Baseline	RS(47R/47W/6S)	566709	3.05538	0.1942	0.750907	0.00223357	0.2	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	581961	3.10827	0.221318	0.714897	0.00183528	0.2	1.6	3.2	4
Baseline	R(95R/5W)	2.58175e+06	3.74046	0.0482372	0.892057	0.00262544	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	3.14383e+06	3.56625	0.0571302	0.894925	0.00269275	0.2	1.6	3.2	2
