# YCSB Benchmark Scale 3M Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	123775	39.5978	0.467031	0.646095	0.0011624	0.8	3.2	6.4	0
CASCADE	A(50R/50U)	151328	27.2847	0.531456	0.640968	0.00107689	0.4	3.2	6.4	135
Baseline	B(95R/5U)	598097	39.1244	0.342008	0.872152	0.00116292	0.4	3.2	6.4	0
CASCADE	B(95R/5U)	698451	29.08	0.384842	0.884918	0.00122031	0.4	3.2	6.4	83
Baseline	C(100R)	1.39447e+06	34.5238	0.227791	0.952587	0.00175329	0.2	1.6	3.2	0
CASCADE	C(100R)	1.24998e+06	26.5849	0.256873	0.925985	0.00147362	0.4	3.2	3.2	79
Baseline	D(95R/5I)	423009	44.2935	0.257687	0.915326	0.00136517	0.4	3.2	6.4	0
CASCADE	D(95R/5I)	539840	29.5856	0.266379	0.925703	0.00139947	0.4	3.2	6.4	86
Baseline	E(95Scan/5I)	49489.9	38.9503	0	0.609303	0	0	0	0	0
CASCADE	E(95Scan/5I)	56496	28.9134	0	0.6329	0	0	0	0	141
Baseline	F(50R/50RMW)	124927	39.5978	0.467037	0.646095	0.0011624	0.8	3.2	6.4	0
CASCADE	F(50R/50RMW)	151150	27.2847	0.531442	0.640968	0.00107689	0.4	3.2	6.4	135
Baseline	W(1R/99W)	66710.6	34.7382	0.508529	0.482043	0.00116821	1.6	52428.8	104858	0
CASCADE	W(1R/99W)	75517.8	26.6536	0.572053	0.513104	0.00112563	1.6	52428.8	104858	192
Baseline	RW(50R/50W)	123649	39.5978	0.467033	0.646095	0.0011624	0.8	3.2	6.4	0
CASCADE	RW(50R/50W)	150766	27.2847	0.531445	0.640968	0.00107689	0.4	3.2	6.4	135
Baseline	RSW(25R/25W/50S)	58472	50.6048	0.429508	0.735068	0.00122973	0.8	6.4	6.4	0
CASCADE	RSW(25R/25W/50S)	71878.1	27.7917	0.490128	0.74864	0.00113523	0.8	3.2	6.4	106
Baseline	RS(47R/47W/6S)	107980	40.7244	0.464639	0.650467	0.00116029	0.8	3.2	6.4	0
CASCADE	RS(47R/47W/6S)	130001	26.6936	0.529469	0.647949	0.00106669	0.8	3.2	6.4	132
Baseline	R(95R/5W)	599164	39.1244	0.342008	0.872152	0.00116292	0.4	3.2	6.4	0
CASCADE	R(95R/5W)	713162	29.08	0.384842	0.884918	0.00122031	0.4	3.2	6.4	83
