# YCSB Benchmark Scale 1M Run 1
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	414837	11.013	0.417791	0.659147	0.00131551	0.4	3.2	6.4	0
CASCADE	A(50R/50U)	383121	12.4291	0.505794	0.652357	0.00107915	0.4	3.2	6.4	43
Baseline	B(95R/5U)	1.05247e+06	16.8344	0.269503	0.899979	0.00142743	0.2	3.2	3.2	0
CASCADE	B(95R/5U)	1.27243e+06	12.2111	0.276128	0.906738	0.0013197	0.2	1.6	3.2	28
Baseline	C(100R)	1.62222e+06	16.2924	0.216447	0.94247	0.00105656	0.2	1.6	3.2	0
CASCADE	C(100R)	1.66838e+06	12.7749	0.234336	0.94731	0.00126829	0.2	1.6	3.2	27
Baseline	D(95R/5I)	864387	16.9799	0.258551	0.938887	0.00153774	0.4	3.2	3.2	0
CASCADE	D(95R/5I)	990831	12.8281	0.289869	0.948308	0.00145091	0.2	1.6	3.2	29
Baseline	E(95Scan/5I)	82575.7	10.6304	0	0.644288	0	0	0	0	0
CASCADE	E(95Scan/5I)	91184.7	12.1442	0	0.621854	0	0	0	0	44
Baseline	F(50R/50RMW)	419692	11.013	0.417787	0.659147	0.00131551	0.4	3.2	6.4	0
CASCADE	F(50R/50RMW)	383474	12.4291	0.505786	0.652357	0.00107915	0.4	3.2	6.4	43
Baseline	W(1R/99W)	199080	18.5324	0.460202	0.490456	0.00106754	0.8	13107.2	52428.8	0
CASCADE	W(1R/99W)	199252	16.39	0.550808	0.508942	0.00107488	0.8	13107.2	52428.8	58
Baseline	RW(50R/50W)	419729	11.013	0.417789	0.659147	0.00131552	0.4	3.2	6.4	0
CASCADE	RW(50R/50W)	378309	12.4291	0.505794	0.652357	0.00107915	0.4	3.2	6.4	43
Baseline	RSW(25R/25W/50S)	86803.9	13.2213	0.375127	0.767797	0.00123468	0.8	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	95352	11.4019	0.45316	0.778078	0.00114684	0.4	3.2	6.4	35
Baseline	RS(47R/47W/6S)	280443	11.2418	0.414728	0.665849	0.00120968	0.4	3.2	3.2	0
CASCADE	RS(47R/47W/6S)	277639	11.4194	0.50519	0.651687	0.00108641	0.4	3.2	6.4	41
Baseline	R(95R/5W)	1.04489e+06	16.8344	0.269503	0.899979	0.00142743	0.2	3.2	3.2	0
CASCADE	R(95R/5W)	1.29666e+06	12.2111	0.276128	0.906738	0.0013197	0.2	1.6	3.2	28
