# YCSB Benchmark Scale 3M Run 1
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	134813	39.611	0.464525	0.644875	0.0011738	0.8	3.2	6.4	0
CASCADE	A(50R/50U)	159450	27.2917	0.52899	0.639778	0.00108927	0.4	3.2	6.4	135
Baseline	B(95R/5U)	600938	39.1428	0.342526	0.872414	0.0011523	0.4	3.2	6.4	0
CASCADE	B(95R/5U)	707795	29.0937	0.385704	0.885276	0.00117407	0.4	3.2	6.4	83
Baseline	C(100R)	1.35101e+06	34.5238	0.228027	0.952587	0.00175314	0.4	1.6	3.2	0
CASCADE	C(100R)	1.22084e+06	26.5849	0.256467	0.925985	0.00144594	0.4	3.2	3.2	79
Baseline	D(95R/5I)	444070	44.3151	0.257404	0.915797	0.00135606	0.4	3.2	6.4	0
CASCADE	D(95R/5I)	561031	29.6001	0.266354	0.926233	0.00140987	0.4	3.2	3.2	86
Baseline	E(95Scan/5I)	49459.6	38.9446	0	0.609159	0	0	0	0	0
CASCADE	E(95Scan/5I)	58379	28.9092	0	0.632705	0	0	0	0	141
Baseline	F(50R/50RMW)	132535	39.611	0.464525	0.644875	0.0011738	0.8	3.2	6.4	0
CASCADE	F(50R/50RMW)	160275	27.2917	0.528989	0.639778	0.00108927	0.4	3.2	6.4	135
Baseline	W(1R/99W)	66650.9	34.7311	0.502673	0.481718	0.00107036	1.6	52428.8	104858	0
CASCADE	W(1R/99W)	75256.4	26.6257	0.567866	0.512035	0.00107975	1.6	52428.8	104858	192
Baseline	RW(50R/50W)	124400	39.611	0.464525	0.644875	0.0011738	0.8	3.2	6.4	0
CASCADE	RW(50R/50W)	151667	27.2917	0.52899	0.639778	0.00108927	0.4	3.2	6.4	135
Baseline	RSW(25R/25W/50S)	58393	50.5804	0.428371	0.734463	0.00123546	0.8	6.4	6.4	0
CASCADE	RSW(25R/25W/50S)	71341.2	27.7797	0.48871	0.74805	0.00112992	0.8	3.2	6.4	106
Baseline	RS(47R/47W/6S)	107617	40.7316	0.462968	0.650472	0.00119663	0.8	3.2	6.4	0
CASCADE	RS(47R/47W/6S)	129578	26.6982	0.528214	0.648006	0.00110315	0.8	3.2	6.4	132
Baseline	R(95R/5W)	594644	39.1428	0.342525	0.872414	0.0011523	0.4	3.2	6.4	0
CASCADE	R(95R/5W)	702536	29.0937	0.385704	0.885276	0.00117407	0.4	3.2	6.4	83
