# YCSB Benchmark Scale 500K Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	620638	6.46398	0.391218	0.649585	0.00132072	0.4	3.2	3.2	0
CASCADE	A(50R/50U)	565689	7.93262	0.474107	0.614913	0.00120719	0.2	3.2	3.2	21
Baseline	B(95R/5U)	1.35021e+06	9.29026	0.240301	0.894163	0.00157623	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	1.5922e+06	8.31569	0.2413	0.900443	0.00161221	0.2	1.6	3.2	14
Baseline	C(100R)	1.66834e+06	9.32891	0.2808	0.941792	0.00155271	0.2	1.6	3.2	0
CASCADE	C(100R)	1.59746e+06	8.65934	0.310812	0.947116	0.00152251	0.2	1.6	3.2	13
Baseline	D(95R/5I)	1.08759e+06	9.41275	0.259477	0.93789	0.00176748	0.4	1.6	3.2	0
CASCADE	D(95R/5I)	1.20329e+06	8.36205	0.287724	0.947534	0.00166866	0.2	1.6	3.2	14
Baseline	E(95Scan/5I)	96062.7	6.29857	0	0.634916	0	0	0	0	0
CASCADE	E(95Scan/5I)	108240	7.63433	0	0.609341	0	0	0	0	21
Baseline	F(50R/50RMW)	618088	6.46398	0.391222	0.649585	0.00132072	0.4	3.2	3.2	0
CASCADE	F(50R/50RMW)	568565	7.93262	0.474111	0.614913	0.00120718	0.2	3.2	3.2	21
Baseline	W(1R/99W)	339518	10.0848	0.42138	0.484019	0.00128518	0.4	6553.6	26214.4	0
CASCADE	W(1R/99W)	345536	8.89022	0.508022	0.508652	0.00146177	0.4	6553.6	26214.4	28
Baseline	RW(50R/50W)	617556	6.46398	0.391222	0.649585	0.00132072	0.4	3.2	3.2	0
CASCADE	RW(50R/50W)	571063	7.93262	0.474111	0.614913	0.00120718	0.2	3.2	3.2	21
Baseline	RSW(25R/25W/50S)	98225.4	7.52711	0.336196	0.77007	0.0013436	0.4	3.2	3.2	0
CASCADE	RSW(25R/25W/50S)	109846	6.64422	0.409955	0.785904	0.00119359	0.4	3.2	3.2	17
Baseline	RS(47R/47W/6S)	364351	6.57344	0.386279	0.660881	0.00141061	0.4	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	370355	7.50241	0.469166	0.657704	0.00129184	0.2	1.6	3.2	20
Baseline	R(95R/5W)	1.34451e+06	9.29026	0.240301	0.894163	0.00157623	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.57803e+06	8.31569	0.2413	0.900443	0.00161221	0.2	1.6	3.2	14
