# YCSB Benchmark Scale 15M Run 2
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	16030.1	154.303	0.525383	0.635081	0.00172542	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	17124.6	120.582	0.587453	0.609088	0.000957313	0.8	6.4	12.8	647
Baseline	B(95R/5U)	147714	134.498	0.412297	0.894629	0.000894769	0.8	6.4	6.4	0
CASCADE	B(95R/5U)	217591	61.4633	0.473243	0.920814	0.000782364	0.8	3.2	6.4	427
Baseline	C(100R)	754375	120.303	0.204425	0.965543	0.000662262	0.8	3.2	6.4	0
CASCADE	C(100R)	741848	64.1043	0.216316	0.969268	0.000617002	0.8	3.2	6.4	397
Baseline	D(95R/5I)	108307	126.563	0.288589	0.965389	0.000937792	0.8	6.4	6.4	0
CASCADE	D(95R/5I)	140547	66.1567	0.263661	0.967347	0.000856002	0.8	6.4	6.4	433
Baseline	E(95Scan/5I)	10783.6	147.674	0	0.623655	0	0	0	0	0
CASCADE	E(95Scan/5I)	11554.5	115.653	0	0.599034	0	0	0	0	678
Baseline	F(50R/50RMW)	16033.1	154.303	0.525382	0.635081	0.00172551	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	17219.4	120.582	0.587451	0.609088	0.000957313	0.8	6.4	12.8	647
Baseline	W(1R/99W)	7840.99	119.688	0.563737	0.510025	0.00282574	3.2	419430	838861	0
CASCADE	W(1R/99W)	8311.74	92.584	0.617109	0.484436	0.000951997	3.2	419430	838861	935
Baseline	RW(50R/50W)	15848.2	154.303	0.525381	0.635081	0.00172547	0.8	6.4	12.8	0
CASCADE	RW(50R/50W)	16751.5	120.582	0.587452	0.609088	0.000957225	0.8	6.4	12.8	647
Baseline	RSW(25R/25W/50S)	17769.1	161.589	0.487792	0.745723	0.001015	1.6	6.4	12.8	0
CASCADE	RSW(25R/25W/50S)	18470.8	154.199	0.559314	0.714159	0.000955673	1.6	6.4	12.8	494
Baseline	RS(47R/47W/6S)	15929.8	157.907	0.521902	0.641461	0.00162859	1.6	6.4	12.8	0
CASCADE	RS(47R/47W/6S)	17139.7	123.404	0.584086	0.629266	0.000943905	0.8	6.4	12.8	630
Baseline	R(95R/5W)	149851	134.498	0.412297	0.894629	0.00089475	0.8	6.4	6.4	0
CASCADE	R(95R/5W)	217447	61.4633	0.473243	0.920814	0.000782364	0.8	3.2	6.4	427
