# YCSB Benchmark Scale 1M Run 4
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	417602	11.1165	0.419952	0.658875	0.00127511	0.4	3.2	6.4	0
CASCADE	A(50R/50U)	382153	12.419	0.50982	0.651857	0.0011428	0.4	3.2	6.4	43
Baseline	B(95R/5U)	1.071e+06	16.8425	0.270547	0.900329	0.00132683	0.2	3.2	3.2	0
CASCADE	B(95R/5U)	1.28879e+06	12.2166	0.276783	0.907194	0.00131058	0.2	1.6	3.2	28
Baseline	C(100R)	1.63981e+06	16.2924	0.216608	0.94247	0.00102811	0.2	1.6	3.2	0
CASCADE	C(100R)	1.67661e+06	12.7749	0.234857	0.94731	0.00129241	0.2	1.6	3.2	27
Baseline	D(95R/5I)	876834	16.989	0.259145	0.939393	0.00155553	0.4	3.2	3.2	0
CASCADE	D(95R/5I)	974620	12.8349	0.289942	0.948846	0.00146881	0.2	1.6	3.2	29
Baseline	E(95Scan/5I)	82605.5	10.6432	0	0.645174	0	0	0	0	0
CASCADE	E(95Scan/5I)	91004.6	12.1578	0	0.622522	0	0	0	0	44
Baseline	F(50R/50RMW)	410432	11.1165	0.419956	0.658875	0.00127513	0.4	3.2	6.4	0
CASCADE	F(50R/50RMW)	373705	12.419	0.509816	0.651857	0.0011428	0.4	3.2	6.4	43
Baseline	W(1R/99W)	196063	18.544	0.47431	0.490553	0.00150594	0.8	13107.2	52428.8	0
CASCADE	W(1R/99W)	198380	16.3986	0.57433	0.509109	0.00136474	0.8	13107.2	52428.8	58
Baseline	RW(50R/50W)	417135	11.1165	0.419958	0.658875	0.00127513	0.4	3.2	6.4	0
CASCADE	RW(50R/50W)	377272	12.419	0.50981	0.651857	0.0011428	0.4	3.2	6.4	43
Baseline	RSW(25R/25W/50S)	85704.2	13.2451	0.376995	0.769499	0.00131425	0.8	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	95020.5	11.4219	0.458243	0.779655	0.00122457	0.4	3.2	3.2	35
Baseline	RS(47R/47W/6S)	279474	11.248	0.415388	0.665118	0.00126868	0.4	3.2	3.2	0
CASCADE	RS(47R/47W/6S)	276539	11.7388	0.506075	0.654557	0.00111284	0.4	3.2	6.4	42
Baseline	R(95R/5W)	1.06306e+06	16.8425	0.270547	0.900329	0.00132683	0.2	3.2	3.2	0
CASCADE	R(95R/5W)	1.30825e+06	12.2166	0.276783	0.907194	0.00131058	0.2	1.6	3.2	28
