# YCSB Benchmark Scale 1M Run 5
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	419661	11.1159	0.419438	0.658667	0.0012321	0.4	3.2	6.4	0
CASCADE	A(50R/50U)	382014	12.4185	0.507944	0.651714	0.00109408	0.4	3.2	6.4	43
Baseline	B(95R/5U)	1.08272e+06	16.8457	0.266197	0.900653	0.00137695	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	1.31606e+06	12.2199	0.273978	0.907605	0.00142104	0.2	1.6	3.2	28
Baseline	C(100R)	1.63681e+06	16.2924	0.217218	0.94247	0.00105984	0.2	1.6	3.2	0
CASCADE	C(100R)	1.70939e+06	12.7749	0.235397	0.94731	0.00128207	0.2	1.6	3.2	27
Baseline	D(95R/5I)	859381	16.9915	0.258607	0.939508	0.00154288	0.4	3.2	3.2	0
CASCADE	D(95R/5I)	989543	12.8369	0.288812	0.949047	0.00142692	0.2	1.6	6.4	29
Baseline	E(95Scan/5I)	81867.9	10.6431	0	0.64526	0	0	0	0	0
CASCADE	E(95Scan/5I)	91942.1	12.1593	0	0.622795	0	0	0	0	44
Baseline	F(50R/50RMW)	412876	11.1159	0.41945	0.658667	0.00123209	0.4	3.2	6.4	0
CASCADE	F(50R/50RMW)	382758	12.4185	0.507946	0.651714	0.00109408	0.4	3.2	6.4	43
Baseline	W(1R/99W)	198725	18.5412	0.455364	0.490558	0.00115581	0.8	13107.2	52428.8	0
CASCADE	W(1R/99W)	199300	16.3947	0.54974	0.509031	0.00118182	0.8	13107.2	52428.8	58
Baseline	RW(50R/50W)	417654	11.1159	0.419438	0.658667	0.0012321	0.4	3.2	6.4	0
CASCADE	RW(50R/50W)	381836	12.4185	0.507946	0.651714	0.00109408	0.4	3.2	6.4	43
Baseline	RSW(25R/25W/50S)	85891.2	13.242	0.373958	0.769294	0.00133596	0.8	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	94942.8	11.4197	0.454815	0.779632	0.00122976	0.4	3.2	6.4	35
Baseline	RS(47R/47W/6S)	273908	11.2534	0.416849	0.665509	0.00124836	0.4	3.2	3.2	0
CASCADE	RS(47R/47W/6S)	268231	11.745	0.508469	0.65497	0.00111675	0.4	3.2	3.2	42
Baseline	R(95R/5W)	1.10128e+06	16.8457	0.266197	0.900653	0.00137695	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.28098e+06	12.2199	0.273978	0.907605	0.00142104	0.2	1.6	3.2	28
