# YCSB Benchmark Scale 500K Run 5
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	622118	6.4579	0.39361	0.648533	0.00130168	0.4	3.2	3.2	0
CASCADE	A(50R/50U)	565987	7.92599	0.476204	0.614286	0.00118083	0.2	3.2	3.2	21
Baseline	B(95R/5U)	1.34663e+06	9.29666	0.237742	0.894781	0.00160786	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	1.57801e+06	8.32158	0.237734	0.901177	0.00146921	0.2	1.6	3.2	14
Baseline	C(100R)	1.66578e+06	9.32891	0.28149	0.941792	0.00151794	0.2	1.6	3.2	0
CASCADE	C(100R)	1.70403e+06	8.65934	0.309646	0.947116	0.00153225	0.2	1.6	3.2	13
Baseline	D(95R/5I)	1.07543e+06	9.41848	0.260287	0.93848	0.00171099	0.4	1.6	3.2	0
CASCADE	D(95R/5I)	1.19644e+06	8.36711	0.289809	0.948181	0.00164384	0.2	1.6	3.2	14
Baseline	E(95Scan/5I)	95548.7	6.28688	0	0.639111	0	0	0	0	0
CASCADE	E(95Scan/5I)	109353	7.64707	0	0.610246	0	0	0	0	21
Baseline	F(50R/50RMW)	617212	6.4579	0.393614	0.648533	0.00130169	0.4	3.2	3.2	0
CASCADE	F(50R/50RMW)	569022	7.92599	0.4762	0.614286	0.00118083	0.2	3.2	3.2	21
Baseline	W(1R/99W)	337675	10.2254	0.440631	0.504963	0.00101872	0.4	6553.6	26214.4	0
CASCADE	W(1R/99W)	346485	8.89287	0.546154	0.508697	0.00139645	0.4	6553.6	26214.4	28
Baseline	RW(50R/50W)	619793	6.4579	0.393614	0.648533	0.00130169	0.4	3.2	3.2	0
CASCADE	RW(50R/50W)	566907	7.92599	0.4762	0.614286	0.00118083	0.2	3.2	3.2	21
Baseline	RSW(25R/25W/50S)	97079.6	7.54176	0.333816	0.771436	0.00138289	0.4	3.2	3.2	0
CASCADE	RSW(25R/25W/50S)	109877	6.65711	0.408233	0.787482	0.00127543	0.4	1.6	3.2	17
Baseline	RS(47R/47W/6S)	368743	6.51481	0.383196	0.673794	0.00123126	0.4	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	368558	7.4948	0.471048	0.65668	0.00119761	0.2	3.2	3.2	20
Baseline	R(95R/5W)	1.39258e+06	9.29666	0.237742	0.894781	0.00160786	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.52005e+06	8.32158	0.237774	0.901177	0.00146921	0.2	1.6	3.2	14
