scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
10000000,1,Baseline,A(50R/50U),23607.6837,167.1729,0.5091,0.6101,0.0011,0.8000,6.4000,12.8000,0,423.5909,no
10000000,1,CASCADE,A(50R/50U),36662.6624,77.3434,0.5835,0.6270,0.0009,0.8000,3.2000,6.4000,421,272.7571,no
10000000,1,Baseline,B(95R/5U),254700.8712,107.5999,0.3945,0.9130,0.0009,0.8000,3.2000,6.4000,0,39.2617,no
10000000,1,CASCADE,B(95R/5U),299789.9346,71.7112,0.4732,0.8942,0.0010,0.4000,3.2000,3.2000,263,33.3567,no
10000000,1,Baseline,C(100R),1101702.0756,99.2458,0.2238,0.9560,0.0006,0.4000,3.2000,3.2000,0,9.0769,no
10000000,1,CASCADE,C(100R),1100257.0145,65.0808,0.2219,0.9516,0.0006,0.4000,3.2000,3.2000,254,9.0888,no
10000000,1,Baseline,D(95R/5I),173015.0405,108.6520,0.2527,0.9575,0.0010,0.8000,3.2000,6.4000,0,57.7984,no
10000000,1,CASCADE,D(95R/5I),202603.5291,74.2644,0.2607,0.9431,0.0011,0.4000,3.2000,6.4000,271,49.3575,no
10000000,1,Baseline,E(95Scan/5I),15788.3896,163.6628,0.0000,0.5846,0.0000,0.0000,0.0000,0.0000,0,633.3768,no
10000000,1,CASCADE,E(95Scan/5I),20792.0607,76.9557,0.0000,0.5946,0.0000,0.0000,0.0000,0.0000,431,480.9528,no
10000000,1,Baseline,F(50R/50RMW),25082.0396,167.1729,0.5091,0.6101,0.0011,0.8000,6.4000,12.8000,0,398.6917,no
10000000,1,CASCADE,F(50R/50RMW),36202.6238,77.3434,0.5835,0.6270,0.0009,0.8000,3.2000,6.4000,421,276.2231,no
10000000,1,Baseline,W(1R/99W),14315.8345,128.6767,0.5461,0.4736,0.0010,1.6000,209715.2000,838860.8000,0,698.5272,no
10000000,1,CASCADE,W(1R/99W),18081.4701,60.0051,0.6162,0.4939,0.0009,1.6000,209715.2000,419430.4000,615,553.0524,no
10000000,1,Baseline,RW(50R/50W),27219.8783,167.1729,0.5091,0.6101,0.0011,0.8000,6.4000,6.4000,0,367.3786,no
10000000,1,CASCADE,RW(50R/50W),36855.3412,77.3434,0.5835,0.6270,0.0009,0.8000,3.2000,6.4000,421,271.3311,no
10000000,1,Baseline,RSW(25R/25W/50S),27096.2100,116.2026,0.4741,0.7547,0.0010,0.8000,3.2000,6.4000,0,369.0553,no
10000000,1,CASCADE,RSW(25R/25W/50S),29158.3974,64.8194,0.5555,0.7510,0.0009,1.6000,6.4000,6.4000,335,342.9544,no
10000000,1,Baseline,RS(47R/47W/6S),22404.5615,170.6147,0.5057,0.6294,0.0011,0.8000,6.4000,12.8000,0,446.3377,no
10000000,1,CASCADE,RS(47R/47W/6S),28736.3384,79.3444,0.5809,0.6374,0.0010,0.8000,6.4000,6.4000,409,347.9914,no
10000000,1,Baseline,R(95R/5W),221597.7804,107.5999,0.3945,0.9130,0.0009,0.8000,6.4000,6.4000,0,45.1268,no
10000000,1,CASCADE,R(95R/5W),257503.5082,71.7112,0.4732,0.8942,0.0010,0.8000,3.2000,6.4000,263,38.8344,no
10000000,2,Baseline,A(50R/50U),22479.2850,167.1914,0.5098,0.6100,0.0011,0.8000,6.4000,12.8000,0,444.8540,no
10000000,2,CASCADE,A(50R/50U),29133.3316,77.3461,0.5848,0.6270,0.0010,0.8000,6.4000,6.4000,421,343.2494,no
10000000,2,Baseline,B(95R/5U),217933.4113,107.5888,0.3951,0.9126,0.0010,0.8000,6.4000,6.4000,0,45.8856,no
10000000,2,CASCADE,B(95R/5U),253183.5556,71.7333,0.4727,0.8947,0.0009,0.8000,3.2000,6.4000,263,39.4970,no
10000000,2,Baseline,C(100R),831253.8047,99.2458,0.2238,0.9560,0.0006,0.8000,3.2000,6.4000,0,12.0300,no
10000000,2,CASCADE,C(100R),799725.0279,65.0808,0.2219,0.9516,0.0006,0.8000,3.2000,6.4000,254,12.5043,no
10000000,2,Baseline,D(95R/5I),151593.8423,108.6464,0.2529,0.9580,0.0010,0.8000,6.4000,6.4000,0,65.9657,no
10000000,2,CASCADE,D(95R/5I),174896.8882,74.2493,0.2610,0.9436,0.0011,0.8000,3.2000,6.4000,271,57.1765,no
10000000,2,Baseline,E(95Scan/5I),14559.5242,163.6282,0.0000,0.5845,0.0000,0.0000,0.0000,0.0000,0,686.8356,no
10000000,2,CASCADE,E(95Scan/5I),17552.5968,74.5298,0.0000,0.6118,0.0000,0.0000,0.0000,0.0000,442,569.7163,no
10000000,2,Baseline,F(50R/50RMW),22593.8981,167.1914,0.5098,0.6100,0.0011,0.8000,6.4000,12.8000,0,442.5974,no
10000000,2,CASCADE,F(50R/50RMW),29291.7706,77.3461,0.5848,0.6270,0.0010,0.8000,6.4000,6.4000,421,341.3928,no
10000000,2,Baseline,W(1R/99W),4998.6149,128.6725,0.5414,0.4735,0.0011,3.2000,419430.4000,838860.8000,0,2000.5542,no
10000000,2,CASCADE,W(1R/99W),13892.5585,64.3617,0.6253,0.5098,0.0009,3.2000,419430.4000,419430.4000,590,719.8098,no
