# YCSB Benchmark Scale 1M Run 2
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	420009	11.0151	0.418381	0.659283	0.00120642	0.4	3.2	6.4	0
CASCADE	A(50R/50U)	381468	12.4343	0.506782	0.652637	0.00114536	0.4	3.2	6.4	43
Baseline	B(95R/5U)	1.06592e+06	16.8437	0.26945	0.900424	0.00135581	0.2	3.2	3.2	0
CASCADE	B(95R/5U)	1.28008e+06	12.2182	0.279758	0.907382	0.00134083	0.2	1.6	3.2	28
Baseline	C(100R)	1.60212e+06	16.2924	0.216266	0.94247	0.00103729	0.2	1.6	3.2	0
CASCADE	C(100R)	1.59494e+06	12.7749	0.234115	0.94731	0.0012832	0.2	1.6	3.2	27
Baseline	D(95R/5I)	857694	16.9888	0.25877	0.939476	0.0015535	0.4	3.2	3.2	0
CASCADE	D(95R/5I)	986618	12.8348	0.290269	0.948843	0.00146181	0.2	1.6	3.2	29
Baseline	E(95Scan/5I)	82496.3	10.6324	0	0.644273	0	0	0	0	0
CASCADE	E(95Scan/5I)	91308.4	12.1464	0	0.621933	0	0	0	0	44
Baseline	F(50R/50RMW)	417097	11.0151	0.418379	0.659283	0.00120642	0.4	3.2	6.4	0
CASCADE	F(50R/50RMW)	382539	12.4343	0.50678	0.652637	0.00114536	0.4	3.2	6.4	43
Baseline	W(1R/99W)	197580	18.5437	0.462434	0.490574	0.0014056	0.8	13107.2	52428.8	0
CASCADE	W(1R/99W)	200409	16.3965	0.546895	0.509106	0.00155307	0.8	13107.2	52428.8	58
Baseline	RW(50R/50W)	422265	11.0151	0.418381	0.659283	0.00120642	0.4	3.2	6.4	0
CASCADE	RW(50R/50W)	381115	12.4343	0.506782	0.652637	0.00114536	0.4	3.2	6.4	43
Baseline	RSW(25R/25W/50S)	87389.9	13.2383	0.373475	0.768923	0.00137007	0.8	3.2	3.2	0
CASCADE	RSW(25R/25W/50S)	95558	11.4163	0.454255	0.779243	0.00107852	0.4	3.2	3.2	35
Baseline	RS(47R/47W/6S)	277775	11.2618	0.415077	0.665995	0.00126038	0.4	3.2	3.2	0
CASCADE	RS(47R/47W/6S)	276882	11.7541	0.506306	0.655604	0.00111042	0.4	3.2	6.4	42
Baseline	R(95R/5W)	1.07028e+06	16.8437	0.26945	0.900424	0.00135581	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.28274e+06	12.2182	0.279758	0.907382	0.00134083	0.2	1.6	3.2	28
