# YCSB Benchmark Scale 10M Run 2
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	22479.3	167.191	0.50976	0.610038	0.00105025	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	29133.3	77.3461	0.584832	0.626962	0.000951237	0.8	6.4	6.4	421
Baseline	B(95R/5U)	217933	107.589	0.395096	0.912577	0.000951392	0.8	6.4	6.4	0
CASCADE	B(95R/5U)	253184	71.7333	0.472686	0.894738	0.000933593	0.8	3.2	6.4	263
Baseline	C(100R)	831254	99.2458	0.223774	0.956033	0.000585742	0.8	3.2	6.4	0
CASCADE	C(100R)	799725	65.0808	0.221932	0.951634	0.000573166	0.8	3.2	6.4	254
Baseline	D(95R/5I)	151594	108.646	0.2529	0.958028	0.000965142	0.8	6.4	6.4	0
CASCADE	D(95R/5I)	174897	74.2493	0.260957	0.943606	0.0011305	0.8	3.2	6.4	271
Baseline	E(95Scan/5I)	14559.5	163.628	0	0.584493	0	0	0	0	0
CASCADE	E(95Scan/5I)	17552.6	74.5298	0	0.611763	0	0	0	0	442
Baseline	F(50R/50RMW)	22593.9	167.191	0.509761	0.610038	0.00105025	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	29291.8	77.3461	0.584831	0.626962	0.000951238	0.8	6.4	6.4	421
Baseline	W(1R/99W)	4998.61	128.672	0.541381	0.473479	0.00110518	3.2	419430	838861	0
CASCADE	W(1R/99W)	13892.6	64.3617	0.625312	0.50982	0.000925576	3.2	419430	419430	590
Baseline	RW(50R/50W)	22689.4	167.191	0.509763	0.610038	0.00105032	0.8	6.4	12.8	0
CASCADE	RW(50R/50W)	29096.1	77.3461	0.584829	0.626962	0.000951237	0.8	6.4	6.4	421
Baseline	RSW(25R/25W/50S)	13562.8	116.231	0.474218	0.754826	0.00101349	1.6	6.4	12.8	0
CASCADE	RSW(25R/25W/50S)	28392	64.8297	0.556053	0.751085	0.000964837	1.6	6.4	6.4	335
Baseline	RS(47R/47W/6S)	22229	170.633	0.506757	0.62938	0.00105277	0.8	6.4	12.8	0
CASCADE	RS(47R/47W/6S)	28860.7	79.3481	0.58265	0.637417	0.000958503	0.8	6.4	6.4	409
Baseline	R(95R/5W)	219361	107.589	0.395096	0.912577	0.000951392	0.8	6.4	6.4	0
CASCADE	R(95R/5W)	260302	71.7333	0.472686	0.894738	0.000933594	0.8	3.2	6.4	263
