# YCSB Benchmark Scale 500K Run 1
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	594142	6.46923	0.389574	0.649737	0.00125683	0.4	3.2	6.4	0
CASCADE	A(50R/50U)	574573	7.9407	0.47111	0.615918	0.0011694	0.2	3.2	3.2	21
Baseline	B(95R/5U)	1.3549e+06	9.29054	0.239819	0.89418	0.00155565	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	1.49815e+06	8.3163	0.240905	0.900615	0.001525	0.2	1.6	3.2	14
Baseline	C(100R)	1.73633e+06	9.32891	0.279982	0.941792	0.0015347	0.2	1.6	3.2	0
CASCADE	C(100R)	1.68542e+06	8.65934	0.308744	0.947116	0.00152123	0.2	1.6	3.2	13
Baseline	D(95R/5I)	1.0766e+06	9.41285	0.259441	0.93787	0.00166794	0.4	1.6	3.2	0
CASCADE	D(95R/5I)	1.222e+06	8.36219	0.286837	0.947555	0.00159448	0.2	1.6	3.2	14
Baseline	E(95Scan/5I)	95639.7	6.22787	0	0.640967	0	0	0	0	0
CASCADE	E(95Scan/5I)	109147	7.62626	0	0.608389	0	0	0	0	21
Baseline	F(50R/50RMW)	621435	6.46923	0.389562	0.649737	0.00125683	0.4	3.2	3.2	0
CASCADE	F(50R/50RMW)	570792	7.9407	0.47111	0.615918	0.0011694	0.2	3.2	3.2	21
Baseline	W(1R/99W)	359227	8.34042	0.426623	0.469614	0.00169227	0.4	6553.6	26214.4	0
CASCADE	W(1R/99W)	347507	8.88971	0.513943	0.508413	0.00192907	0.4	6553.6	26214.4	28
Baseline	RW(50R/50W)	623209	6.46923	0.38957	0.649737	0.00125684	0.4	3.2	3.2	0
CASCADE	RW(50R/50W)	576657	7.9407	0.471098	0.615918	0.0011694	0.2	3.2	3.2	21
Baseline	RSW(25R/25W/50S)	97868.9	7.51952	0.336113	0.768919	0.00140492	0.4	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	111470	6.63787	0.418064	0.7848	0.00130161	0.4	3.2	3.2	17
Baseline	RS(47R/47W/6S)	367124	6.58172	0.38212	0.661809	0.00138879	0.4	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	371503	7.51289	0.464426	0.658646	0.00121017	0.2	1.6	3.2	20
Baseline	R(95R/5W)	1.33531e+06	9.29054	0.239819	0.89418	0.00155565	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.55956e+06	8.3163	0.240905	0.900615	0.001525	0.2	1.6	3.2	14
