scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
500000,1,Baseline,A(50R/50U),618470.8802,6.4692,0.3896,0.6497,0.0013,0.4000,3.2000,6.4000,0,0.8084,no
500000,1,CASCADE,A(50R/50U),542150.3361,7.9407,0.4711,0.6159,0.0012,0.2000,3.2000,6.4000,21,0.9223,no
500000,1,Baseline,B(95R/5U),1354143.6615,9.2905,0.2398,0.8942,0.0016,0.2000,1.6000,3.2000,0,0.3692,no
500000,1,CASCADE,B(95R/5U),1612033.0712,8.3163,0.2409,0.9006,0.0015,0.2000,1.6000,3.2000,14,0.3102,no
500000,1,Baseline,C(100R),1725537.2049,9.3289,0.2800,0.9418,0.0015,0.2000,1.6000,3.2000,0,0.2898,no
500000,1,CASCADE,C(100R),1727106.2729,8.6593,0.3087,0.9471,0.0015,0.2000,1.6000,3.2000,13,0.2895,no
500000,1,Baseline,D(95R/5I),1048988.2770,9.4129,0.2594,0.9379,0.0017,0.4000,1.6000,6.4000,0,0.4766,no
500000,1,CASCADE,D(95R/5I),1211978.5894,8.3622,0.2868,0.9476,0.0016,0.2000,1.6000,3.2000,14,0.4125,no
500000,1,Baseline,E(95Scan/5I),95411.5360,6.2279,0.0000,0.6410,0.0000,0.0000,0.0000,0.0000,0,5.2405,no
500000,1,CASCADE,E(95Scan/5I),109918.0736,7.6263,0.0000,0.6084,0.0000,0.0000,0.0000,0.0000,21,4.5488,no
500000,1,Baseline,F(50R/50RMW),614102.3063,6.4692,0.3896,0.6497,0.0013,0.4000,3.2000,3.2000,0,0.8142,no
500000,1,CASCADE,F(50R/50RMW),560143.7553,7.9407,0.4711,0.6159,0.0012,0.2000,3.2000,3.2000,21,0.8926,no
500000,1,Baseline,W(1R/99W),355349.0634,8.3404,0.4266,0.4696,0.0017,0.4000,6553.6000,26214.4000,0,1.4071,no
500000,1,CASCADE,W(1R/99W),338291.4549,8.8897,0.5139,0.5084,0.0019,0.4000,6553.6000,26214.4000,28,1.4780,no
500000,1,Baseline,RW(50R/50W),609727.6248,6.4692,0.3896,0.6497,0.0013,0.4000,3.2000,6.4000,0,0.8200,no
500000,1,CASCADE,RW(50R/50W),560753.6113,7.9407,0.4711,0.6159,0.0012,0.2000,3.2000,3.2000,21,0.8917,no
500000,1,Baseline,RSW(25R/25W/50S),97879.8842,7.5195,0.3361,0.7689,0.0014,0.4000,3.2000,6.4000,0,5.1083,no
500000,1,CASCADE,RSW(25R/25W/50S),112262.4677,6.6379,0.4181,0.7848,0.0013,0.4000,3.2000,3.2000,17,4.4538,no
500000,1,Baseline,RS(47R/47W/6S),360348.7708,6.5817,0.3821,0.6618,0.0014,0.4000,3.2000,3.2000,0,1.3875,no
500000,1,CASCADE,RS(47R/47W/6S),370205.1492,7.5129,0.4644,0.6586,0.0012,0.2000,3.2000,6.4000,20,1.3506,no
500000,1,Baseline,R(95R/5W),1358666.7325,9.2905,0.2398,0.8942,0.0016,0.2000,1.6000,3.2000,0,0.3680,no
500000,1,CASCADE,R(95R/5W),1510394.1580,8.3163,0.2409,0.9006,0.0015,0.2000,1.6000,6.4000,14,0.3310,no
500000,2,Baseline,A(50R/50U),615874.2510,6.4716,0.3917,0.6500,0.0014,0.4000,3.2000,3.2000,0,0.8119,no
500000,2,CASCADE,A(50R/50U),567138.4658,7.9443,0.4739,0.6157,0.0013,0.2000,3.2000,3.2000,21,0.8816,no
500000,2,Baseline,B(95R/5U),1358052.1458,9.2973,0.2395,0.8949,0.0015,0.2000,1.6000,3.2000,0,0.3682,no
500000,2,CASCADE,B(95R/5U),1587555.4702,8.3216,0.2404,0.9011,0.0013,0.2000,1.6000,3.2000,14,0.3149,no
500000,2,Baseline,C(100R),1704624.1462,9.3289,0.2797,0.9418,0.0014,0.2000,1.6000,3.2000,0,0.2933,no
500000,2,CASCADE,C(100R),1714574.5015,8.6593,0.3101,0.9471,0.0015,0.2000,1.6000,3.2000,13,0.2916,no
500000,2,Baseline,D(95R/5I),1043162.0460,9.4197,0.2605,0.9387,0.0017,0.4000,1.6000,3.2000,0,0.4793,no
500000,2,CASCADE,D(95R/5I),1196090.1020,8.3680,0.2877,0.9483,0.0016,0.2000,1.6000,3.2000,14,0.4180,no
500000,2,Baseline,E(95Scan/5I),96296.2883,6.2397,0.0000,0.6491,0.0000,0.0000,0.0000,0.0000,0,5.1923,no
500000,2,CASCADE,E(95Scan/5I),109303.8379,7.6998,0.0000,0.5969,0.0000,0.0000,0.0000,0.0000,21,4.5744,no
