# YCSB Benchmark Scale 100K Run 2
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	959520	2.9957	0.198155	0.729208	0.00197725	0.2	1.6	3.2	0
CASCADE	A(50R/50U)	966417	3.04785	0.216261	0.694923	0.00180331	0.2	1.6	3.2	4
Baseline	B(95R/5U)	2.45488e+06	3.7418	0.0466745	0.892511	0.00267274	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	3.07831e+06	3.56751	0.0559336	0.89538	0.00313697	0.2	1.6	3.2	2
Baseline	C(100R)	3.22287e+06	4.01542	0.07288	0.98294	0.00226289	0.2	1.6	3.2	0
CASCADE	C(100R)	3.18259e+06	3.82373	0.0805	0.9861	0.00204937	0.2	1.6	3.2	2
Baseline	D(95R/5I)	1.98016e+06	3.82383	0.0737776	0.966894	0.00229583	0.2	1.6	3.2	0
CASCADE	D(95R/5I)	2.40545e+06	3.64977	0.0912739	0.969764	0.00246039	0.2	1.6	3.2	3
Baseline	E(95Scan/5I)	138955	3.13067	0	0.695716	0	0	0	0	0
CASCADE	E(95Scan/5I)	156917	2.99837	0	0.70171	0	0	0	0	4
Baseline	F(50R/50RMW)	884657	2.9957	0.198155	0.729208	0.00197725	0.2	1.6	6.4	0
CASCADE	F(50R/50RMW)	1.06885e+06	3.04785	0.216261	0.694923	0.00180331	0.2	1.6	3.2	4
Baseline	W(1R/99W)	699400	3.15547	0.276847	0.581602	0	0.4	1638.4	3276.8	0
CASCADE	W(1R/99W)	724689	2.60305	0.341872	0.659073	0.000846024	0.2	1638.4	1638.4	5
Baseline	RW(50R/50W)	1.08011e+06	2.9957	0.198155	0.729208	0.00197725	0.2	1.6	3.2	0
CASCADE	RW(50R/50W)	989898	3.04785	0.216261	0.694923	0.00180331	0.2	1.6	3.2	4
Baseline	RSW(25R/25W/50S)	144807	3.46241	0.130691	0.807744	0.00293702	0.4	1.6	6.4	0
CASCADE	RSW(25R/25W/50S)	144734	3.08211	0.168639	0.820912	0.00192411	0.2	1.6	3.2	3
Baseline	RS(47R/47W/6S)	559627	3.06026	0.193749	0.752926	0.00203524	0.2	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	591514	3.11408	0.214755	0.71753	0.00208911	0.2	1.6	3.2	4
Baseline	R(95R/5W)	2.53448e+06	3.7418	0.0466745	0.892511	0.00267274	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	3.12867e+06	3.56751	0.0559336	0.89538	0.00313697	0.2	1.6	3.2	2
