scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
100000,3,Baseline,A(50R/50U),765119.9680,2.9941,0.2019,0.7285,0.0022,0.2000,1.6000,3.2000,0,0.1307,no
100000,3,CASCADE,A(50R/50U),1104063.5057,3.0457,0.2180,0.6939,0.0017,0.2000,1.6000,3.2000,4,0.0906,no
100000,3,Baseline,B(95R/5U),2438635.2792,3.7405,0.0482,0.8921,0.0026,0.2000,1.6000,3.2000,0,0.0410,no
100000,3,CASCADE,B(95R/5U),3109118.4287,3.5662,0.0571,0.8949,0.0027,0.2000,1.6000,3.2000,2,0.0322,no
100000,3,Baseline,C(100R),3275927.2938,4.0154,0.0742,0.9829,0.0024,0.2000,1.6000,1.6000,0,0.0305,no
100000,3,CASCADE,C(100R),3195568.7432,3.8237,0.0810,0.9861,0.0020,0.2000,1.6000,3.2000,2,0.0313,no
100000,3,Baseline,D(95R/5I),2043205.2504,3.8224,0.0748,0.9664,0.0024,0.2000,1.6000,3.2000,0,0.0489,no
100000,3,CASCADE,D(95R/5I),2376649.4006,3.6484,0.0938,0.9693,0.0028,0.2000,1.6000,3.2000,3,0.0421,no
100000,3,Baseline,E(95Scan/5I),137233.1878,3.1272,0.0000,0.6943,0.0000,0.0000,0.0000,0.0000,0,0.7287,no
100000,3,CASCADE,E(95Scan/5I),154749.6339,2.9943,0.0000,0.6997,0.0000,0.0000,0.0000,0.0000,4,0.6462,no
100000,3,Baseline,F(50R/50RMW),1110914.6520,2.9941,0.2019,0.7285,0.0022,0.2000,1.6000,3.2000,0,0.0900,no
100000,3,CASCADE,F(50R/50RMW),1100776.0471,3.0457,0.2180,0.6939,0.0017,0.2000,1.6000,3.2000,4,0.0908,no
100000,3,Baseline,W(1R/99W),750667.6250,3.1545,0.2517,0.5816,0.0026,0.2000,819.2000,3276.8000,0,0.1332,no
100000,3,CASCADE,W(1R/99W),754969.5854,2.6016,0.3487,0.6582,0.0018,0.2000,819.2000,1638.4000,5,0.1325,no
100000,3,Baseline,RW(50R/50W),1076331.1676,2.9941,0.2019,0.7285,0.0022,0.2000,1.6000,3.2000,0,0.0929,no
100000,3,CASCADE,RW(50R/50W),1082440.9546,3.0457,0.2180,0.6939,0.0017,0.2000,1.6000,3.2000,4,0.0924,no
100000,3,Baseline,RSW(25R/25W/50S),147262.1844,3.4607,0.1308,0.8076,0.0021,0.4000,1.6000,3.2000,0,0.6791,no
100000,3,CASCADE,RSW(25R/25W/50S),145338.2748,3.0802,0.1709,0.8203,0.0021,0.2000,1.6000,3.2000,3,0.6881,no
100000,3,Baseline,RS(47R/47W/6S),566709.0990,3.0554,0.1942,0.7509,0.0022,0.2000,1.6000,3.2000,0,0.1765,no
100000,3,CASCADE,RS(47R/47W/6S),581961.2385,3.1083,0.2213,0.7149,0.0018,0.2000,1.6000,3.2000,4,0.1718,no
100000,3,Baseline,R(95R/5W),2581750.0170,3.7405,0.0482,0.8921,0.0026,0.2000,1.6000,3.2000,0,0.0387,no
100000,3,CASCADE,R(95R/5W),3143834.4173,3.5662,0.0571,0.8949,0.0027,0.2000,1.6000,3.2000,2,0.0318,no
100000,4,Baseline,A(50R/50U),1095366.2317,2.9937,0.2045,0.7286,0.0024,0.2000,1.6000,3.2000,0,0.0913,no
100000,4,CASCADE,A(50R/50U),912675.9250,3.0462,0.2182,0.6947,0.0022,0.2000,1.6000,6.4000,4,0.1096,no
100000,4,Baseline,B(95R/5U),2562063.2931,3.7482,0.0469,0.8947,0.0026,0.2000,1.6000,3.2000,0,0.0390,no
100000,4,CASCADE,B(95R/5U),3184878.1983,3.5735,0.0572,0.8975,0.0032,0.2000,1.6000,3.2000,2,0.0314,no
100000,4,Baseline,C(100R),3322075.1528,4.0154,0.0726,0.9829,0.0022,0.2000,1.6000,3.2000,0,0.0301,no
100000,4,CASCADE,C(100R),3236193.5891,3.8237,0.0803,0.9861,0.0020,0.2000,1.6000,1.6000,2,0.0309,no
100000,4,Baseline,D(95R/5I),2077443.6507,3.8305,0.0737,0.9692,0.0025,0.2000,1.6000,3.2000,0,0.0481,no
100000,4,CASCADE,D(95R/5I),2436281.0783,3.6560,0.0900,0.9721,0.0026,0.2000,1.6000,3.2000,3,0.0410,no
100000,4,Baseline,E(95Scan/5I),140281.4010,3.1286,0.0000,0.6949,0.0000,0.0000,0.0000,0.0000,0,0.7129,no
100000,4,CASCADE,E(95Scan/5I),160797.9546,2.9968,0.0000,0.7013,0.0000,0.0000,0.0000,0.0000,4,0.6219,no
100000,4,Baseline,F(50R/50RMW),1077148.0351,2.9937,0.2045,0.7286,0.0024,0.2000,1.6000,3.2000,0,0.0928,no
100000,4,CASCADE,F(50R/50RMW),1087318.4688,3.0462,0.2182,0.6947,0.0022,0.2000,1.6000,3.2000,4,0.0920,no
100000,4,Baseline,W(1R/99W),751351.0249,3.1542,0.2842,0.5815,0.0033,0.4000,1638.4000,3276.8000,0,0.1331,no
100000,4,CASCADE,W(1R/99W),734116.2443,2.6018,0.3666,0.6585,0.0009,0.2000,1638.4000,1638.4000,5,0.1362,no
100000,4,Baseline,RW(50R/50W),1102273.5351,2.9937,0.2045,0.7286,0.0024,0.2000,1.6000,3.2000,0,0.0907,no
100000,4,CASCADE,RW(50R/50W),1089627.2930,3.0462,0.2182,0.6947,0.0022,0.2000,1.6000,3.2000,4,0.0918,no
100000,4,Baseline,RSW(25R/25W/50S),144195.8468,3.4586,0.1300,0.8069,0.0032,0.4000,1.6000,3.2000,0,0.6935,no
100000,4,CASCADE,RSW(25R/25W/50S),147574.6747,3.0785,0.1686,0.8197,0.0023,0.2000,1.6000,3.2000,3,0.6776,no
100000,4,Baseline,RS(47R/47W/6S),592219.8608,3.0527,0.1959,0.7504,0.0019,0.2000,1.6000,3.2000,0,0.1689,no
100000,4,CASCADE,RS(47R/47W/6S),609208.0295,3.1071,0.2238,0.7158,0.0021,0.2000,1.6000,3.2000,4,0.1641,no
100000,4,Baseline,R(95R/5W),2459210.4292,3.7482,0.0469,0.8947,0.0026,0.2000,1.6000,3.2000,0,0.0407,no
100000,4,CASCADE,R(95R/5W),3035580.8015,3.5735,0.0572,0.8975,0.0032,0.2000,1.6000,3.2000,2,0.0329,no
100000,5,Baseline,A(50R/50U),1086341.0269,2.9936,0.1979,0.7283,0.0022,0.2000,1.6000,3.2000,0,0.0921,no
100000,5,CASCADE,A(50R/50U),1088595.8287,3.0459,0.2162,0.6943,0.0021,0.2000,1.6000,3.2000,4,0.0919,no
100000,5,Baseline,B(95R/5U),2553452.3109,3.7445,0.0469,0.8933,0.0026,0.2000,1.6000,3.2000,0,0.0392,no
100000,5,CASCADE,B(95R/5U),3070298.3179,3.5700,0.0568,0.8962,0.0031,0.2000,1.6000,3.2000,2,0.0326,no
100000,5,Baseline,C(100R),3214938.8176,4.0154,0.0740,0.9829,0.0023,0.2000,1.6000,3.2000,0,0.0311,no
100000,5,CASCADE,C(100R),3205389.2594,3.8237,0.0821,0.9861,0.0022,0.2000,1.6000,1.6000,2,0.0312,no
100000,5,Baseline,D(95R/5I),2033036.8488,3.8264,0.0755,0.9678,0.0027,0.2000,1.6000,3.2000,0,0.0492,no
100000,5,CASCADE,D(95R/5I),2412489.4773,3.6522,0.0904,0.9707,0.0025,0.2000,1.6000,3.2000,3,0.0415,no
100000,5,Baseline,E(95Scan/5I),140978.6278,3.1349,0.0000,0.6966,0.0000,0.0000,0.0000,0.0000,0,0.7093,no
100000,5,CASCADE,E(95Scan/5I),157169.6986,3.0024,0.0000,0.7027,0.0000,0.0000,0.0000,0.0000,4,0.6363,no
100000,5,Baseline,F(50R/50RMW),1073341.4192,2.9936,0.1979,0.7283,0.0022,0.2000,1.6000,3.2000,0,0.0932,no
100000,5,CASCADE,F(50R/50RMW),1101586.9737,3.0459,0.2162,0.6943,0.0021,0.2000,1.6000,3.2000,4,0.0908,no
100000,5,Baseline,W(1R/99W),719734.0600,3.1553,0.2473,0.5816,0.0009,0.4000,1638.4000,3276.8000,0,0.1389,no
100000,5,CASCADE,W(1R/99W),732179.6622,2.6021,0.3430,0.6586,0.0028,0.2000,1638.4000,1638.4000,5,0.1366,no
100000,5,Baseline,RW(50R/50W),1083342.4442,2.9936,0.1979,0.7283,0.0022,0.2000,1.6000,3.2000,0,0.0923,no
100000,5,CASCADE,RW(50R/50W),1068064.1731,3.0459,0.2162,0.6943,0.0021,0.2000,1.6000,3.2000,4,0.0936,no
100000,5,Baseline,RSW(25R/25W/50S),137575.0156,3.4639,0.1261,0.8082,0.0027,0.4000,1.6000,3.2000,0,0.7269,no
100000,5,CASCADE,RSW(25R/25W/50S),146279.0807,3.0830,0.1644,0.8210,0.0020,0.2000,1.6000,3.2000,3,0.6836,no
100000,5,Baseline,RS(47R/47W/6S),569673.5699,3.0524,0.1948,0.7499,0.0019,0.2000,1.6000,3.2000,0,0.1755,no
100000,5,CASCADE,RS(47R/47W/6S),546795.4370,3.1067,0.2207,0.7152,0.0022,0.2000,1.6000,3.2000,4,0.1829,no
100000,5,Baseline,R(95R/5W),2544877.3210,3.7445,0.0469,0.8933,0.0026,0.2000,1.6000,3.2000,0,0.0393,no
100000,5,CASCADE,R(95R/5W),3093277.8556,3.5700,0.0568,0.8962,0.0031,0.2000,1.6000,3.2000,2,0.0323,no
