scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
1000000,1,Baseline,A(50R/50U),414837.0694,11.0130,0.4178,0.6591,0.0013,0.4000,3.2000,6.4000,0,2.4106,no
1000000,1,CASCADE,A(50R/50U),383121.0528,12.4291,0.5058,0.6524,0.0011,0.4000,3.2000,6.4000,43,2.6101,no
1000000,1,Baseline,B(95R/5U),1052470.0625,16.8344,0.2695,0.9000,0.0014,0.2000,3.2000,3.2000,0,0.9501,no
1000000,1,CASCADE,B(95R/5U),1272425.2351,12.2111,0.2761,0.9067,0.0013,0.2000,1.6000,3.2000,28,0.7859,no
1000000,1,Baseline,C(100R),1622223.0516,16.2924,0.2164,0.9425,0.0011,0.2000,1.6000,3.2000,0,0.6164,no
1000000,1,CASCADE,C(100R),1668378.4925,12.7749,0.2343,0.9473,0.0013,0.2000,1.6000,3.2000,27,0.5994,no
1000000,1,Baseline,D(95R/5I),864386.7269,16.9799,0.2586,0.9389,0.0015,0.4000,3.2000,3.2000,0,1.1569,no
1000000,1,CASCADE,D(95R/5I),990831.1792,12.8281,0.2899,0.9483,0.0015,0.2000,1.6000,3.2000,29,1.0093,no
1000000,1,Baseline,E(95Scan/5I),82575.7146,10.6304,0.0000,0.6443,0.0000,0.0000,0.0000,0.0000,0,12.1101,no
1000000,1,CASCADE,E(95Scan/5I),91184.6856,12.1442,0.0000,0.6219,0.0000,0.0000,0.0000,0.0000,44,10.9668,no
1000000,1,Baseline,F(50R/50RMW),419691.7700,11.0130,0.4178,0.6591,0.0013,0.4000,3.2000,6.4000,0,2.3827,no
1000000,1,CASCADE,F(50R/50RMW),383473.6901,12.4291,0.5058,0.6524,0.0011,0.4000,3.2000,6.4000,43,2.6077,no
1000000,1,Baseline,W(1R/99W),199080.2311,18.5324,0.4602,0.4905,0.0011,0.8000,13107.2000,52428.8000,0,5.0231,no
1000000,1,CASCADE,W(1R/99W),199251.6871,16.3900,0.5508,0.5089,0.0011,0.8000,13107.2000,52428.8000,58,5.0188,no
1000000,1,Baseline,RW(50R/50W),419728.8804,11.0130,0.4178,0.6591,0.0013,0.4000,3.2000,6.4000,0,2.3825,no
1000000,1,CASCADE,RW(50R/50W),378309.1230,12.4291,0.5058,0.6524,0.0011,0.4000,3.2000,6.4000,43,2.6433,no
1000000,1,Baseline,RSW(25R/25W/50S),86803.8636,13.2213,0.3751,0.7678,0.0012,0.8000,3.2000,6.4000,0,11.5202,no
1000000,1,CASCADE,RSW(25R/25W/50S),95352.0231,11.4019,0.4532,0.7781,0.0011,0.4000,3.2000,6.4000,35,10.4875,no
1000000,1,Baseline,RS(47R/47W/6S),280443.1759,11.2418,0.4147,0.6658,0.0012,0.4000,3.2000,3.2000,0,3.5658,no
1000000,1,CASCADE,RS(47R/47W/6S),277638.8683,11.4194,0.5052,0.6517,0.0011,0.4000,3.2000,6.4000,41,3.6018,no
1000000,1,Baseline,R(95R/5W),1044892.1813,16.8344,0.2695,0.9000,0.0014,0.2000,3.2000,3.2000,0,0.9570,no
1000000,1,CASCADE,R(95R/5W),1296658.8505,12.2111,0.2761,0.9067,0.0013,0.2000,1.6000,3.2000,28,0.7712,no
1000000,2,Baseline,A(50R/50U),420008.9756,11.0151,0.4184,0.6593,0.0012,0.4000,3.2000,6.4000,0,2.3809,no
1000000,2,CASCADE,A(50R/50U),381467.5681,12.4343,0.5068,0.6526,0.0011,0.4000,3.2000,6.4000,43,2.6215,no
1000000,2,Baseline,B(95R/5U),1065916.8297,16.8437,0.2695,0.9004,0.0014,0.2000,3.2000,3.2000,0,0.9382,no
1000000,2,CASCADE,B(95R/5U),1280082.2661,12.2182,0.2798,0.9074,0.0013,0.2000,1.6000,3.2000,28,0.7812,no
1000000,2,Baseline,C(100R),1602123.6675,16.2924,0.2163,0.9425,0.0010,0.2000,1.6000,3.2000,0,0.6242,no
1000000,2,CASCADE,C(100R),1594937.2430,12.7749,0.2341,0.9473,0.0013,0.2000,1.6000,3.2000,27,0.6270,no
1000000,2,Baseline,D(95R/5I),857694.4775,16.9888,0.2588,0.9395,0.0016,0.4000,3.2000,3.2000,0,1.1659,no
1000000,2,CASCADE,D(95R/5I),986617.8042,12.8348,0.2903,0.9488,0.0015,0.2000,1.6000,3.2000,29,1.0136,no
1000000,2,Baseline,E(95Scan/5I),82496.3072,10.6324,0.0000,0.6443,0.0000,0.0000,0.0000,0.0000,0,12.1218,no
