# YCSB Benchmark Scale 1M Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	414255	11.0072	0.420912	0.658999	0.0011914	0.4	3.2	6.4	0
CASCADE	A(50R/50U)	382134	12.4261	0.510124	0.652382	0.00114511	0.4	3.2	6.4	43
Baseline	B(95R/5U)	1.0437e+06	16.8348	0.272177	0.899997	0.00138102	0.2	3.2	3.2	0
CASCADE	B(95R/5U)	1.3472e+06	12.2119	0.28125	0.90692	0.00146878	0.2	1.6	3.2	28
Baseline	C(100R)	1.55934e+06	16.2924	0.216796	0.94247	0.00106597	0.2	1.6	3.2	0
CASCADE	C(100R)	1.69806e+06	12.7749	0.235902	0.94731	0.00134018	0.2	1.6	3.2	27
Baseline	D(95R/5I)	865865	16.9806	0.259486	0.938881	0.00154903	0.4	3.2	3.2	0
CASCADE	D(95R/5I)	1.00112e+06	12.8288	0.291397	0.948372	0.00145716	0.2	1.6	3.2	29
Baseline	E(95Scan/5I)	82399.8	10.6362	0	0.64464	0	0	0	0	0
CASCADE	E(95Scan/5I)	91114.6	12.1516	0	0.622155	0	0	0	0	44
Baseline	F(50R/50RMW)	419043	11.0072	0.420906	0.658999	0.00119141	0.4	3.2	6.4	0
CASCADE	F(50R/50RMW)	384327	12.4261	0.510114	0.652382	0.00114511	0.4	3.2	6.4	43
Baseline	W(1R/99W)	198720	18.5382	0.467913	0.490497	0.00133563	0.8	13107.2	52428.8	0
CASCADE	W(1R/99W)	198614	16.393	0.559576	0.508927	0.00113122	0.8	13107.2	52428.8	58
Baseline	RW(50R/50W)	419876	11.0072	0.420906	0.658999	0.00119141	0.4	3.2	6.4	0
CASCADE	RW(50R/50W)	375450	12.4261	0.510122	0.652382	0.00114511	0.4	3.2	6.4	43
Baseline	RSW(25R/25W/50S)	86268.6	13.2345	0.3759	0.768899	0.00126099	0.8	3.2	6.4	0
CASCADE	RSW(25R/25W/50S)	96425.5	11.4126	0.453763	0.77901	0.0012064	0.4	3.2	3.2	35
Baseline	RS(47R/47W/6S)	280135	11.2589	0.415333	0.665924	0.00120734	0.4	3.2	3.2	0
CASCADE	RS(47R/47W/6S)	275816	11.7527	0.507585	0.655557	0.00113171	0.4	3.2	6.4	42
Baseline	R(95R/5W)	1.09944e+06	16.8348	0.272175	0.899997	0.00138103	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	1.2926e+06	12.2119	0.28125	0.90692	0.00146878	0.2	1.6	3.2	28
